No. in series	No. in season	Title	Director	Writer(s)	Original air date	Production code
165	1	"A Brand New Day"	Frank South	Frank South	September8,1997	2397158
166	2	"The Trojan Stork"	Charles Correll	Charles Pratt, Jr.	September15,1997	2397159
167	3	"No Time For Sperm Banks"	Jefferson Kibbee	Carol Mendelsohn	September22,1997	2397160
168	4	"The Doctor Is In... Deep"	Anson Williams	James Kahn	September29,1997	2397161
169	5	"Desperately Seeking Samantha"	Chip Chalmers	Neil Landau	October20,1997	2397162
170	6	"The Light At the End of the Tumble"	Charles Correll	Cynthia J. Cohen	October27,1997	2397163
171	7	"Secrets and Wives"	Jefferson Kibbee	Antoinette Stella	November3,1997	2397164
172	8	"A Shot in the Dark"	Anson Williams	Frank South	November10,1997	2397165
173	9	"Attack of the Scalpel Woman"	Chip Chalmers	Charles Pratt, Jr.	November17,1997	2397166
174	10	"My Little Coma Girl"	Charles Correll	Carol Mendelsohn	November24,1997	2397167
175	11	"Everybody Comes to Kyle's"	Jefferson Kibbee	James Kahn	December1,1997	2397168
176	12	"A Bump in the Night"	Charles Correll	Cynthia J. Cohen	December15,1997	2397169
177	13	"A Tree Talks in Melrose"	Thomas Calabro	Antoinette Stella	December22,1997	2397170
178	14	"To Kill a Whirlybird"	Charles Correll	Frank South	January5,1998	2397171
179	15	"Amanda's Back"	Charles Correll	James Kahn	January12,1998	2397172
180	16	"Kyle of the Desert"	Charles Pratt, Jr.	Charles Pratt, Jr.	January19,1998	2397173
181	17	"Coop de Grace"	Chip Hayes	Chip Hayes	January26,1998	2397174
182	18	"Mama Mia"	Thomas Calabro	Carol Mendelsohn	February2,1998	2397175
183	19	"Last Train to Baghdad (1)"	Anson Williams	James Kahn & Frank South	February9,1998	2397176A
184	20	"Last Train to Baghdad (2)"	Anson Williams	James Kahn & Frank South	February9,1998	2397176B
185	21	"A Swing and a Mrs."	Jefferson Kibbee	Antoinette Stella & Cynthia J. Cohen	February16,1998	2397177
186	22	"Blunt Drama"	Harvey Frost	Charles Pratt, Jr.	February23,1998	2397178
187	23	"A Christine Runs Through It"	Charles Correll	Carol Mendelsohn	March2,1998	2397179
188	24	"Too Romantic For Words"	Chip Chalmers	Frank South	March9,1998	2397180
189	25	"Four Affairs and a Pregnancy"	Jefferson Kibbee	James Kahn	March16,1998	2397181
190	26	"M.P. Confidential"	Robert J. Metoyer	Charles Pratt, Jr.	March30,1998	2397182
