Player	No.	Nationality	Position	Years for Jazz	School/Club Team
Sundiata Gaines	15	United States	Guard	2010	Georgia
Chad Gallagher	55	United States	Center	1993-94	Creighton
John Gianelli	40	United States	Center	1979-80	Pacific
Armen Gilliam	5	United States	Forward	1999-2000	UNLV
Gordan Giriček	10	Croatia	Shooting guard	2003-2007	CSKA Moscow ( Russia )
Gail Goodrich	25	United States	Point guard	1976-79	UCLA
Paul Grant	45	United States	Center	2003-04	Wisconsin
Lamar Green	16	United States	Forward	1974-75	Morehead State
Rickey Green	14	United States	Guard	1980-88	Michigan
Sean Green	30	United States	Guard	1994	Iona
Tommy Green	14	United States	Guard	1978-79	Southern
Paul Griffin	30	United States	Forward	1976-79	Western Michigan
Darrell Griffith	35	United States	Guard	1980-91	Louisville
