Year	Network	Lap-by-lap	Color commentator(s)	Pit reporters	Host	Ratings	Viewers
1979	CBS	Ken Squier	David Hobbs	Ned Jarrett Brock Yates	Ken Squier	10.5/29	15.1 million
1980	CBS	Ken Squier	David Hobbs	Ned Jarrett Brock Yates	Ken Squier	8.0/21	10.8 million
1981	CBS	Ken Squier	David Hobbs	Ned Jarrett Brock Yates	Ken Squier	8.4/26	11.2 million
1982	CBS	Ken Squier	David Hobbs	Ned Jarrett Larry Nuber	Brock Yates	9.4/27	11.8 million
1983	CBS	Ken Squier	David Hobbs	Ned Jarrett Larry Nuber	Ken Squier	8.7/26	11.0 million
1984	CBS	Ken Squier	David Hobbs	Ned Jarrett Chris Economaki Mike Joy	Chris Economaki	8.7/23	12.3 million
1985	CBS	Ken Squier	David Hobbs Ned Jarrett	Chris Economaki Mike Joy	Chris Economaki	8.3/23	9.8 million
1986	CBS	Ken Squier	David Hobbs Ned Jarrett	Chris Economaki Mike Joy	Chris Economaki	8.4/22	10.3 million
1987	CBS	Ken Squier	David Hobbs Ned Jarrett	Chris Economaki Mike Joy Dave Despain	Chris Economaki	9.4/26	12.4 million
1988	CBS	Ken Squier	Ned Jarrett Chris Economaki	Mike Joy Dave Despain David Hobbs	Chris Economaki	7.4/18	10.0 million
1989	CBS	Ken Squier	Ned Jarrett Chris Economaki	Mike Joy Dave Despain David Hobbs	Chris Economaki	8.1/21	12.0 million
1990	CBS	Ken Squier	Ned Jarrett Chris Economaki	Mike Joy Dave Despain David Hobbs	Chris Economaki	7.3/20	10.5 million
1991	CBS	Ken Squier	Ned Jarrett David Hobbs	Mike Joy Dave Despain Chris Economaki	Chris Economaki	7.6/20	10.9 million
1992	CBS	Ken Squier	Ned Jarrett Neil Bonnett	Mike Joy David Hobbs Chris Economaki	Chris Economaki	9.2/25	13.4 million
1993	CBS	Ken Squier	Ned Jarrett Neil Bonnett	Mike Joy David Hobbs Chris Economaki	Chris Economaki	8.4/23	12.7 million
1994	CBS	Ken Squier	Ned Jarrett Chris Economaki	Mike Joy David Hobbs Dick Berggren	Chris Economaki	9.6/26	13.6 million
1995	CBS	Ken Squier	Ned Jarrett Richard Petty	Mike Joy David Hobbs Dick Berggren	Ken Squier	7.8/20	11.4 million
1996	CBS	Ken Squier	Ned Jarrett Buddy Baker	Mike Joy David Hobbs Dick Berggren	Ken Squier	9.2/24	13.9 million
1997	CBS	Ken Squier	Ned Jarrett Buddy Baker	Mike Joy Dick Berggren Ralph Sheheen	Ken Squier	8.6/23	12.8 million
1998	CBS	Mike Joy	Ned Jarrett Buddy Baker	Dick Berggren Ralph Sheheen Bill Stephens	Ken Squier	8.6/23	13.0 million
1999	CBS	Mike Joy	Ned Jarrett Buddy Baker	Dick Berggren Ralph Sheheen Bill Stephens	Greg Gumbel Ken Squier	9.6/25	12.9 million
