Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1999	Marvin Steve	Maja Pohar	Dmitry Miznikov Valery Strelcov	Natalja Esipenko Natalia Golovkina	Valery Strelcov Natalia Golovkina
2000	Richard Vaughan	Anu Weckstrom	Michał Łogosz Robert Mateusiak	Felicity Gallup Joanne Muggeridge	Michael Beres Kara Solmudson
2001	Oliver Pongratz	Karina de Wit	Kristof Hopp Thomas Tesche	Erica van den Heuvel Nicole van Hooren	Peter Steffensen Lene Mork
2002	Przemysław Wacha	Petya Nedelcheva	Vincent Laigle Svetoslav Stoyanov	Tammy Jenkins Rhona Robertson	Russel Hogg Kirsteen McEwan
2003	Hendra Wijaya	Pi Hongyan	Vincent Laigle Svetoslav Stoyanov	Miyuki Tai Yoshiko Iwata	Carsten Mogensen Kamilla Rytter Juhl
2004	Hidetaka Yamada	Li Li	Daniel Glaser Dennis Von Dahn	Jiang Yanmei Li Li	Svetoslav Stoyanov Victoria Wright
2005	Holvy De Pauw	Miyo Akao	Simon Mollyhus Anders Kristiansen	Frances Liu Fan Shinta Mulia Sari	Hendra Wijaya Frances Liu Fan
2006	Andrew Smith	Petya Nedelcheva	Chris Tonks Chris Langridge	Liza Parker Jenny Day	Chris Langridge Jenny Day
2007	Carl Baxter	Guo Xin	Wouter Claes Frederic Mawet	Cai Jiani Guo Xin	Wouter Claes Nathalie Descamps
2008	Ville Lång	Kaori Imabeppu	Rupesh Kumar Sanave Thomas	Maria Thorberg Kati Tolmoff	Baptiste Careme Laura Choinet
2009	Peter Mikkelsen	Anita Raj Kaur	Mads Conrad-Petersen Mads Pieler Kolding	Ezgi Epice Claudia Vogelsang	Zvonimir Djurkinjak Stasa Poznanovic
2010	Ben Beckman	Nicole Grether	Joe Morgan James Phillips	Nicole Grether Charmaine Reid	Zvonimir Djurkinjak Stasa Poznanovic
2011	Dieter Domke	Minatsu Mitani	Kim Astrup Sorensen Rasmus Fladberg	Sandra-Maria Jensen Line Kjaersfeldt	Zvonimir Djurkinjak Stasa Poznanovic
