No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
119	1	"Lisa's Mudder Comes for a Visit"	Richard L. Bare	Jay Sommers and Dick Chevillat	September27,1969	122
120	2	"Everybody Tries to Love a Countess"	Richard L. Bare	Jay Sommers and Dick Chevillat	October4,1969	123
121	3	"Where There's a Will"	Richard L. Bare	Jay Sommers and Dick Chevillat	October11,1969	119
122	4	"A Tale of a Tail"	Richard L. Bare	Jay Sommers and Dick Chevillat	October18,1969	120
123	5	"You and Your Big Shrunken Head"	Richard L. Bare	Jay Sommers and Dick Chevillat	October25,1969	121
124	6	"The Road"	Richard L. Bare	Jay Sommers and John L. Greene	November1,1969	128
125	7	"Four of Spades"	Richard L. Bare	Jay Sommers & John L. Greene	November8,1969	127
126	8	"The Youth Center"	Richard L. Bare	Jay Sommers and John L. Greene	November15,1969	129
128	10	"Oliver's Schoolgirl Crush"	Richard L. Bare	Jay Sommers and Dick Chevillat	November29,1969	126
129	11	"Ralph's Nuptials"	Richard L. Bare	Jay Sommers and Dick Chevillat	December13,1969	133
130	12	"Oliver and the Cornstalk"	Richard L. Bare	Jay Sommers and Dick Chevillat	December20,1969	124
131	13	"Beauty is Skin Deep"	Richard L. Bare	Jay Sommers and Dick Chevillat	December27,1969	125
132	14	"The Wish-Book"	Richard L. Bare	Jay Sommers and Dick Chevillat	January3,1970	131
133	15	"Rest and Relaxation"	Richard L. Bare	Jay Sommers and Dick Chevillat	January10,1970	135
134	16	"Trapped"	Richard L. Bare	Jay Sommers and Dick Chevillat	January17,1970	136
136	18	"The Ex-Con"	Richard L. Bare	Jay Sommers and Dick Chevillat	January31,1970	130
138	20	"The Confrontation"	Richard L. Bare	Jay Sommers and Dick Chevillat	February14,1970	138
140	22	"The Picnic"	Richard L. Bare	Jay Sommers and Dick Chevillat	March7,1970	140
141	23	"The Beeping Rock"	Richard L. Bare	Jay Sommers and Dick Chevillat	March21,1970	141
142	24	"Uncle Fedor"	Richard L. Bare	Jay Sommers and Dick Chevillat	March28,1970	143
143	25	"The Wealthy Landowner"	Richard L. Bare	Jay Sommers and Dick Chevillat	April11,1970	142
