Municipality	Population	Police officers	Residents per officer	Total costs (2005)	Cost per capita	Case burden	Crime rate per 1,000 people	Police force
Abbotsford	128165	187	685	$25,520,478	$199	81	118	Abbotsford Police Department
Burnaby	204320	253	808	$32,596,229	$160	100	123	RCMP
Campbell River	30810	40	770	$5,317,313	$173	137	178	RCMP
Castlegar	7821	11	711	$1,115,574	$143	107	150	RCMP
Central Saanich	16821	21	801	$3,044,111	$181	39	49	Central Saanich Police
Chilliwack	73066	91	803	$11,237,991	$154	140	174	RCMP
Coldstream	10102	7	1443	$700,116	$69	54	38	RCMP
Colwood	15253	16	953	$1,451,199	$95	73	74	RCMP
Comox	12706	10	1271	$957,851	$75	69	56	RCMP
Coquitlam	121989	127	961	$16,899,493	$139	96	100	RCMP
Courtenay	21801	26	838	$3,203,859	$147	155	182	RCMP
Cranbrook	19774	24	824	$3,138,148	$159	108	131	RCMP
Dawson Creek	11394	22	518	$2,444,888	$215	116	225	RCMP
Delta	102661	74	680	$21,041,163	$205	80	151	Delta Police Department
Fort St. John	17781	26	684	$3,785,705	$213	156	228	RCMP
Hope	6591	13	507	$1,104,141	$168	91	180	RCMP
Kamloops	82714	118	701	$14,967,841	$181	118	168	RCMP
Kelowna	109490	131	836	$16,296,738	$149	125	150	RCMP
Kimberley	7049	9	783	$669,599	$95	60	77	RCMP
Kitimat	10587	15	706	$1,570,909	$148	49	70	RCMP
Ladysmith	7292	7	1042	$692,991	$95	85	81	RCMP
Lake Country	10367	9	1152	$734,960	$71	104	90	RCMP
Langford	21845	24	910	$3,413,120	$156	102	112	RCMP
Langley (city)	25716	9	584	$6,094,919	$237	102	176	RCMP
Langley (township)	97682	123	794	$16,383,242	$168	86	108	RCMP
Mackenzie	5454	8	682	$769,836	$141	74	108	RCMP
Maple Ridge	73531	79	931	$11,164,050	$152	127	136	RCMP
Merritt	7561	13	582	$1,184,129	$157	133	228	RCMP
Mission	34742	47	739	$6,353,430	$183	125	169	RCMP
Nanaimo	79898	114	701	$14,638,272	$183	125	178	RCMP
Nelson	9797	17	576	$1,968,065	$201	80	139	Nelson Police Department
New Westminster	57480	107	537	$15,890,669	$276	87	162	New Westminster Police Service
North Cowichan	28519	28	1019	$3,618,925	$127	100	98	RCMP
North Saanich	11274	10	1127	$945,598	$84	38	34	RCMP
North Vancouver (city)	47131	64	736	$8,778,016	$186	86	117	RCMP
North Vancouver (district)	88461	91	972	$11,745,082	$133	65	67	RCMP
Oak Bay	18313	22	832	$3,561,807	$194	54	65	Oak Bay Police Department
Parksville	11709	13	901	$1,160,543	$99	156	174	RCMP
Penticton	33061	42	787	$5,078,972	$154	130	165	RCMP
Pitt Meadows	16673	19	878	$2,006,575	$120	89	101	RCMP
Port Alberni	18688	34	550	$4,656,790	$249	115	210	RCMP
Port Coquitlam	57569	59	976	$7,681,729	$133	109	112	RCMP
Port Moody	28458	40	711	$5,786,943	$203	47	67	Port Moody Police Department
Powell River	13831	18	768	$1,916,311	$139	88	114	RCMP
Prince George	77148	121	638	$15,524,482	$201	114	179	RCMP
Prince Rupert	14974	36	416	$3,183,766	$213	85	204	RCMP
Qualicum Beach	8807	6	1468	$466,878	$53	118	81	RCMP
Quesnel	10487	20	524	$2,716,970	$259	124	237	RCMP
Revelstoke	7964	11	724	$982,406	$123	76	105	RCMP
Richmond	173429	94	908	$26,291,594	$152	85	191	RCMP
Saanich	110386	57	751	$9,423,610	$176	43	67	Saanich Police Department
Salmon Arm	17000	17	1000	$1,764,177	$104	103	103	RCMP
Sechelt	8901	10	890	$904,999	$102	85	96	RCMP
Sidney	11862	14	847	$1,286,671	$108	46	54	RCMP
Smithers	5509	9	612	$939,155	$170	184	301	RCMP
Sooke	10117	10	1012	$999,748	$99	93	92	RCMP
Spallumcheen	5707	3	1902	$267,897	$47	87	46	RCMP
Squamish	15922	25	637	$2,966,182	$186	130	204	RCMP
Summerland	11405	9	1267	$789,709	$69	86	68	RCMP
Surrey	393256	552	712	$65,595,991	$167	90	127	RCMP
Terrace	12556	25	502	$2,310,847	$184	103	206	RCMP
Trail	7889	12	657	$1,346,353	$171	97	147	RCMP
Vancouver	584701	1174	498	$170,157,141	$291	58	117	Vancouver Police Department
Vernon	36232	49	739	$5,971,747	$165	123	167	RCMP
Victoria	94525	215	440	$31,063,866	$329	82	186	Victoria Police Department , includes Esquimalt
View Royal	8382	8	1048	$964,990	$115	88	87	RCMP
West Vancouver	46595	79	590	$10,345,528	$222	35	60	West Vancouver Police Department
Whistler	9775	23	425	$2,969,015	$304	86	202	RCMP
White Rock	19577	23	851	$3,127,281	$160	72	84	RCMP
Williams Lake	11872	23	516	$2,074,987	$175	130	252	RCMP
