Rank in Nyagatare Sectors, 2012	Sector	Area in sqkm	Population August 15, 2012	Population, August 15, 2002	Population Change 2002-2012 (%)	Population Density 2012 (km 2 )
8	Gatunda	52	27879	19716	41.4	535
10	Karama	53	26727	19727	35.5	499
2	Karangazi	563	56871	21234	167.8	101
4	Katabagemu	98	34651	22101	56.8	354
14	Kiyombe	69	17061	16483	3.5	247
11	Matimba	79	24168	13476	79.3	307
9	Mimuli	48	27366	22452	21.9	573
12	Mukama	64	21819	17970	21.4	339
7	Musheli	96	32403	14742	119.8	338
3	Nyagatare	164	52125	19475	167.7	317
5	Rukomo	58	34377	20945	64.1	588
13	Rwempasha	169	19328	11428	69.1	115
1	Rwimiyaga	309	58847	16802	250.2	190
6	Tabagwe	106	33322	18533	79.6	313
