Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Aberavon Quins RFC	22	18	1	3	572	194	70	20	9	2	85
Tondu RFC	22	17	1	4	720	220	98	27	9	2	81
Glynneath RFC	22	15	1	6	479	345	59	40	7	2	71
Skewen RFC	22	14	1	7	531	239	64	25	7	5	70
Nantyffyllon RFC	22	15	1	6	478	294	62	31	5	2	69
Kenfig Hill RFC	22	12	1	9	477	383	72	43	6	3	59
Morriston RFC	22	11	1	10	441	486	61	64	7	0	53
Maesteg Harlequins RFC	22	7	2	13	373	393	33	47	3	6	41
Briton Ferry RFC	22	6	0	16	300	541	35	64	3	4	31
Seven Sisters RFC	22	5	1	16	255	611	27	79	2	4	28
Maesteg Celtic RFC	22	5	0	17	297	544	35	67	2	5	27
Tonna RFC	22	2	0	20	263	936	27	136	1	1	10
