County	Bush #	Bush %	Kerry #	Kerry %	Others #	Others %	Total
Allen County, Kansas	3808	65.92%	1885	32.63%	84	1.45%	5777
Anderson County, Kansas	2490	64.74%	1291	33.57%	65	1.69%	3846
Atchison County, Kansas	3769	54.54%	3028	43.81%	114	1.65%	6911
Barber County, Kansas	1749	73.89%	585	24.71%	33	1.39%	2367
Barton County, Kansas	8545	74.00%	2837	24.57%	165	1.43%	11547
Bourbon County, Kansas	4268	65.36%	2167	33.19%	95	1.45%	6530
Brown County, Kansas	3034	70.18%	1234	28.54%	55	1.27%	4323
Butler County, Kansas	16331	71.26%	6292	27.46%	293	1.28%	22916
Chase County, Kansas	1043	70.28%	413	27.83%	28	1.89%	1484
Chautauqua County, Kansas	1496	77.84%	400	20.81%	26	1.35%	1922
Cherokee County, Kansas	6045	61.38%	3694	37.51%	109	1.11%	9848
Cheyenne County, Kansas	1346	80.02%	317	18.85%	19	1.13%	1682
Clark County, Kansas	998	78.46%	254	19.97%	20	1.57%	1272
Clay County, Kansas	3119	79.20%	777	19.73%	42	1.07%	3938
Cloud County, Kansas	3134	71.49%	1179	26.89%	71	1.62%	4384
Coffey County, Kansas	3204	73.93%	1076	24.83%	54	1.25%	4334
Comanche County, Kansas	765	78.54%	198	20.33%	11	1.13%	974
Cowley County, Kansas	9237	65.06%	4747	33.44%	213	1.50%	14197
Crawford County, Kansas	8423	52.09%	7470	46.20%	277	1.71%	16170
Decatur County, Kansas	1354	77.86%	355	20.41%	30	1.73%	1739
Dickinson County, Kansas	6186	71.69%	2316	26.84%	127	1.47%	8629
Doniphan County, Kansas	2460	69.24%	1049	29.52%	44	1.24%	3553
Douglas County, Kansas	19923	41.44%	27282	56.74%	875	1.82%	48080
Edwards County, Kansas	1072	72.43%	383	25.88%	25	1.69%	1480
Elk County, Kansas	1114	73.87%	367	24.34%	27	1.79%	1508
Ellis County, Kansas	7683	64.70%	3938	33.16%	254	2.14%	11875
Ellsworth County, Kansas	2246	72.90%	794	25.77%	41	1.33%	3081
Finney County, Kansas	7361	75.39%	2303	23.59%	100	1.02%	9764
Ford County, Kansas	6413	73.66%	2195	25.21%	98	1.13%	8706
Franklin County, Kansas	7278	64.34%	3874	34.25%	159	1.41%	11311
Geary County, Kansas	4553	64.33%	2436	34.42%	89	1.26%	7078
Gove County, Kansas	1182	81.46%	245	16.88%	24	1.65%	1451
Graham County, Kansas	1067	75.09%	330	23.22%	24	1.69%	1421
Grant County, Kansas	2082	78.39%	549	20.67%	25	0.94%	2656
Gray County, Kansas	1730	80.92%	387	18.10%	21	0.98%	2138
