Rank	Airport	Total Passengers	% Change 2006/2007	International Passengers	Domestic Passengers	Transit Passengers	Aircraft Movements	Freight (Metric Tonnes)
1	London Heathrow	68066028	0.8%	62098911	5753476	213641	481476	1310987
2	London Gatwick	35216113	3.1%	31142002	4023402	50709	266550	171078
3	London Stansted	23779697	0.4%	21204946	2554304	20447	208462	203747
4	Manchester	22112625	1.5%	18662468	3229255	220902	222703	165366
5	London Luton	9927321	5.3%	8427894	1491467	7960	120238	38095
6	Birmingham Airport	9226340	0.9%	7592240	1541815	92285	114679	13585
7	Edinburgh	9047558	5.1%	3417891	5619309	10358	128172	19292
8	Glasgow International	8795727	0.6%	4131512	4594575	69640	108305	4276
9	Bristol	5926774	2.9%	4608290	1275566	42918	76428	20
10	Newcastle	5650716	4.0%	3948594	1675013	27109	79200	785
11	Liverpool	5468510	10.2%	4636149	827085	5276	86668	3709
12	East Midlands	5413360	14.5%	4709855	696649	6856	93989	274753
13	Belfast International	5272664	4.6%	1788807	3447248	36609	77395	38429
14	Aberdeen	3412257	7.8%	1475988	1935152	1117	121927	3434
15	London City	2912123	23.5%	2214884	697239	0	91177	0
16	Leeds Bradford	2881539	3.2%	2229283	630575	21681	65249	109
17	Glasgow Prestwick	2422332	1.0%	1827592	593117	1623	47910	31517
18	Belfast City	2186993	3.9%	93547	2093320	126	43022	1057
19	Cardiff	2111148	4.3%	1665247	428260	17641	43963	2391
