Place	Shooter	Total	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6
1	Torsten Ullman ( SWE )	559	95	92	94	91	92	95
2	Erich Krempel ( GER )	544	87	88	91	92	95	91
3	Charles des Jammonières ( FRA )	540	91	92	86	91	90	90
4	Marcel Bonin ( FRA )	538	92	90	91	86	89	90
5	Tapio Vartiovaara ( FIN )	537	95	86	86	88	93	89
6	Elliott Jones ( USA )	536	92	90	83	92	90	89
7	Georgios Stathis ( GRE )	532	90	89	92	89	87	85
8	Aatto Nuora ( FIN )	532	86	89	90	86	92	89
9	Sándor Tölgyesi ( HUN )	528	87	88	88	90	90	85
10	Bertalan Zsótér ( HUN )	525	87	85	88	84	92	89
11	Mauritz Amundsen ( NOR )	525	89	87	92	86	84	87
12	Paul Wehner ( GER )	525	90	84	88	87	88	88
13	Jean Lafortune ( BEL )	524	83	87	89	85	85	95
14	Roberto Müller ( CHI )	521	88	89	83	85	83	93
15	Jaakko Rintanen ( FIN )	520	89	85	83	88	89	86
16	Carlos Lalanne ( CHI )	520	86	87	89	86	87	85
17	William Riedell ( USA )	519	82	87	85	89	84	92
18	Juan Rostagno ( ARG )	519	90	85	88	80	89	87
19	Emil Martin ( GER )	519	84	86	91	81	88	89
20	René Koch ( FRA )	519	82	89	88	90	80	90
21	Stefano Margotti ( ITA )	518	84	84	82	93	88	87
22	Julius Lehrmann ( DEN )	518	81	86	91	88	84	88
23	Václav Krecl ( TCH )	518	91	82	89	82	82	92
24	Helge Meuller ( SWE )	517	85	85	82	88	87	90
25	Harvey Dias Villela ( BRA )	515	82	84	87	87	85	90
26	Gustaf Bergström ( SWE )	514	85	88	77	88	88	88
27	Miguel Lonegro ( ARG )	513	87	79	87	85	90	85
28	Christen Møller ( DEN )	513	84	90	82	85	87	85
29	Enrique Ojeda ( CHI )	512	86	88	80	89	85	84
30	Martin Gison ( PHI )	511	80	82	86	92	82	89
31	Paul Van Asbroeck ( BEL )	510	90	86	87	71	89	87
32	Giancarlo Boriani ( ITA )	506	80	85	86	90	79	86
33	Ralph Marshall ( USA )	505	91	87	84	82	83	78
34	Jan Koller ( TCH )	503	84	82	87	81	86	83
35	Georgios Kontogiannis ( GRE )	502	81	85	85	86	83	82
36	Ugo Pistolesi ( ITA )	502	86	80	88	80	87	81
37	Otoniel Gonzaga ( PHI )	501	84	79	84	84	83	87
38	Herman Schultz ( MON )	496	82	79	85	82	87	81
39	François Lafortune ( BEL )	495	75	78	90	89	84	79
40	Moysés Cardoso ( POR )	490	79	80	84	82	86	79
41	Louis Briano ( MON )	467	73	72	79	87	80	76
42	Vasile Crişan ( ROU )	446	73	65	72	71	80	85
