Role	Savoy Theatre 1888	Casino Theatre 1888	Savoy Theatre 1897	Savoy Theatre 1906	Savoy Theatre 1909
Lieutenant	Wallace Brownlow	George Broderick	Jones Hewson	Alec Johnstone	Leo Sheffield
Col. Fairfax	Courtice Pounds	Henry Hallam	Charles Kenningham	Pacie Ripple	Henry Herbert
Sgt. Meryll	Richard Temple	George Olmi	Richard Temple	Overton Moyle	Richard Temple
Leonard Meryll	W. R. Shirley	Charles Renwick	Scott Russell	Henry Burnand	A. Laurence Legge
Jack Point	George Grossmith	J. H. Ryley	Walter Passmore	C. H. Workman	C. H. Workman
Wilfred	W. H. Denny	Fred Solomon	Henry Lytton	John Clulow	Rutland Barrington
1st Yeoman	J. Wilbraham	Charles Thomas	Cory James	Frank Beckett	William Davidson
2nd Yeoman	A. Medcalf	J. Priest	H. G. Gordon	Leo Sheffield	Fred Hewett
3rd Yeoman	Mr. Murton	M. J. Thomas	Iago Lewys	N/A	N/A
4th Yeoman	Rudolph Lewis	L. Roach	N/A	N/A	N/A
Headsman	H. Richards	H. Adams	H. Richards	H. M. White	Richard Shaw
1st Citizen	Tom Redmond	Edgar Smith	C. H. Workman	Richard Andean	Fred G. Edgar
2nd Citizen	Mr. Boyd	Stanley Starr	Edwin Bryan	Rowland Williams	Sidney Ashcroft
Elsie	Geraldine Ulmar	Bertha Ricci	Ilka Pálmay	Lilian Coomber	Elsie Spain
Phoebe	Jessie Bond	Sylvia Gerrish	Florence Perry	Jessie Rose	Jessie Rose
Dame Carruthers	Rosina Brandram	Isabelle Urquhart	Rosina Brandram	Louie René	Louie René
