Departure	Going to	Calling at	Arrival	Operator
07.45	Essendine	Thurlby, Braceborough Spa	07.59	GNR
09.20	Essendine	Thurlby, Braceborough Spa	09.35	GNR
12.15	Leicester	Saxby, Melton Mowbray	13.28	M&GN
13.00	Essendine	Thurlby, Braceborough Spa	13.15	GNR
15.28	Essendine	Thurlby, Braceborough Spa	15,43	GNR
16.28	Nottingham	Castle Bytham, Saxby, Melton Mowbray	17.41	M&GN
16.50	Spalding	Twenty, Counter Drain, North Drove	17.11	M&GN
16.50	Essendine	Thurlby, Braceborough Spa	17.04	GNR
18.13	Essendine	Thurlby, Braceborough Spa	18.33	GNR
18.15	Leicester	South Witham, Saxby, Syston	13.28	M&GN
