No.	Date	Tournament	Winning score	To par	Margin of victory	Runner(s)-up	Winners share ( $ )
1	8 Jun 2008	McDonald's LPGA Championship	73-70-65-68=276	−12	Playoff	Maria Hjorth	300000
2	24 May 2009	LPGA Corning Classic	68-70-62-67=267	−21	1 stroke	Kang Soo-Yun Paula Creamer	225000
3	4 Apr 2010	Kraft Nabisco Championship	69-71-67-68=275	−13	1 stroke	Suzann Pettersen	300000
4	1 Aug 2010	Ricoh Women's British Open	68-68-68-73=277	−11	1 stroke	Katherine Hull	408714
5	12 Sep 2010	P&G NW Arkansas Championship	67-68-65=200	−13	1 stroke	Michelle Wie	300000
6	20 Feb 2011	Honda LPGA Thailand	66-71-70-66=273	−15	5 strokes	Michelle Wie	217500
7	12 Jun 2011	LPGA State Farm Classic	67-66-66-68=267	−21	3 strokes	Cristie Kerr	255000
8	26 Jun 2011	Wegmans LPGA Championship	66-70-67-66=269	−19	10 strokes	Morgan Pressel	375000
9	31 Jul 2011	Ricoh Women's British Open	71-66-66-69=272	−16	4 strokes	Brittany Lang	392133
10	11 Sep 2011	Walmart NW Arkansas Championship	66-67-68=201	−13	Playoff	Amy Yang	300000
11	9 Oct 2011	LPGA Hana Bank Championship	65-70-67=202	−14	1 stroke	Choi Na-Yeon	270000
12	23 Oct 2011	Sunrise LPGA Taiwan Championship	68-71-67-66=272	−16	5 strokes	Amy Yang Azahara Muñoz	300000
13	19 Feb 2012	Honda LPGA Thailand	73-65-65-66=269	−19	1 stroke	Ai Miyazato	225000
14	18 Mar 2012	RR Donnelley LPGA Founders Cup	65-70-67-68=270	−18	1 stroke	Choi Na-Yeon Ai Miyazato	225000
