Position	Team	Played	Won	Drawn	Lost	Goals For	Goals Against	Goal Average 1	Points 2
1	Wigan Athletic	46	33	6	7	94	38	2.47	72
2	Runcorn	46	30	8	8	102	42	2.43	68
3	Altrincham	46	26	12	8	87	43	2.02	64
4	Stafford Rangers	46	25	13	8	81	39	2.08	63
5	Scarborough	46	24	12	10	75	45	1.67	60
6	Mossley	46	23	11	12	78	52	1.50	57
7	Gateshead United	46	22	12	12	74	48	1.54	56
8	Goole Town	46	19	12	15	75	71	1.06	50
9	Northwich Victoria	46	18	12	16	83	71	1.17	48
10	Great Harwood	46	17	14	15	69	66	1.05	48
11	Matlock Town	46	19	8	19	87	79	1.10	46
12	Boston United	46	16	14	16	64	63	1.02	46
13	Morecambe	46	14	15	17	71	87	0.82	43
14	Worksop Town	46	14	14	18	69	66	1.05	42
15	South Liverpool	46	14	14	18	59	71	0.83	42
16	Buxton	46	11	17	18	50	77	0.65	39
17	Macclesfield Town	46	11	14	21	46	62	0.74	36
18	Lancaster City	46	13	10	23	53	76	0.70	36
19	Bangor City	46	13	9	24	56	67	0.84	35
20	Gainsborough Trinity	46	10	15	21	46	79	0.58	35
21	Skelmersdale United	46	13	7	26	63	93	0.68	33
22	Barrow	46	9	15	22	45	72	0.63	33
23	Netherfield	46	12	8	26	43	92	0.47	32
