Year	Date	Driver	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)
1984	October 20	Geoffrey Bodine	Pontiac	197	200.349 (322.43)	2:06:51	94.765
1985	October 19	Brett Bodine	Pontiac	197	200.349 (322.43)	1:56:00	103.629
1986	October 18	Morgan Shepherd	Buick	197	200.349 (322.43)	1:39:08	101.177
1987	October 24	Morgan Shepherd	Buick	197	200.349 (322.43)	1:52:29	106.396
1988	October 22	Harry Gant	Buick	197	200.349 (322.43)	1:50:09	109.132
1989	October 21	Harry Gant	Buick	197	200.349 (322.43)	1:47:32	111.788
1990	October 20	Steve Grissom	Oldsmobile	197	200.349 (322.43)	1:53:31	105.896
1991	October 19	Ernie Irvan	Chevrolet	197	200.349 (322.43)	1:55:13	104.333
1992	October 24	Mark Martin	Ford	197	200.349 (322.43)	1:41:30	118.433
1993	October 23	Mark Martin	Ford	197	200.349 (322.43)	1:42:37	117.144
1994	October 22	Mark Martin	Ford	197	200.349 (322.43)	1:49:15	110.032
1995	October 21	Todd Bodine	Chevrolet	197	200.349 (322.43)	2:01:48	98.694
1996	October 19	Mark Martin	Ford	197	200.349 (322.43)	1:36:38	124.397
1997	October 25	Mark Martin	Ford	197	200.349 (322.43)	1:59:42	100.426
1998	October 31	Elliott Sadler	Chevrolet	197	200.349 (322.43)	1:43:31	116.126
1999	October 23	Mark Martin	Ford	197	200.349 (322.43)	1:45:36	113.835
2000	October 21	Jeff Green	Chevrolet	197	200.349 (322.43)	1:46:15	113.138
2001	November 3	Kenny Wallace	Chevrolet	197	200.349 (322.43)	1:36:56	124.012
2002	November 2	Jamie McMurray	Chevrolet	197	200.349 (322.43)	1:41:18	118.667
