Position	Channel	Analogue terrestrial channel	Digital terrestrial channel	Internet
1	BBC One	1	1 50 (HD)	bbc.co.uk
2	ITV	3	3 33 (+1) 51 (HD)	ITV - itv.com
3	BBC Two	2	2	bbc.co.uk
4	Channel 4	4 N/A (in Wales)	4 8 (in Wales) 13 (+1) 52 (HD, not Wales)	channel4.com
4	S4C	N/A	4 (in Wales) 53 (HD, in Wales) N/A (rest of UK)	s4c.co.uk
5	Channel 5	5	5 44 (+1)	N/A
6	ITV3	N/A	10	itv.com
7	ITV2	N/A	6 27 (+1)	itv.com
8	E4	N/A	28 29 (+1)	e4.com
9	Sky Sports 1	N/A	N/A	skysports.com
10	Sky1	N/A	N/A	sky.com
11	CBeebies	N/A	71	bbc.co.uk
12	ITV4	N/A	24	itv.com
13	BBC Three	N/A	7	bbc.co.uk
