Year (Ceremony)	Actor/Actress	Category	Film title used in nomination	Result
1938 (11th)	Fay Bainter	Best Actress	White Banners	Nominee
1938 (11th)	Fay Bainter	Best Supporting Actress	Jezebel	Won Academy Award
1942 (15th)	Teresa Wright	Best Actress	The Pride of the Yankees	Nominee
1942 (15th)	Teresa Wright	Best Supporting Actress	Mrs. Miniver	Won Academy Award
1944 (17th)	Barry Fitzgerald	Best Actor	Going My Way	Nominee
1944 (17th)	Barry Fitzgerald	Best Supporting Actor	Going My Way	Won Academy Award
1982 (55th)	Jessica Lange	Best Actress	Frances	Nominee
1982 (55th)	Jessica Lange	Best Supporting Actress	Tootsie	Won Academy Award
1988 (61st)	Sigourney Weaver	Best Actress	Gorillas in the Mist	Nominee
1988 (61st)	Sigourney Weaver	Best Supporting Actress	Working Girl	Nominee
1992 (65th)	Al Pacino	Best Actor	Scent of a Woman	Won Academy Award
1992 (65th)	Al Pacino	Best Supporting Actor	Glengarry Glen Ross	Nominee
1993 (66th)	Holly Hunter	Best Actress	The Piano	Won Academy Award
1993 (66th)	Holly Hunter	Best Supporting Actress	The Firm	Nominee
1993 (66th)	Emma Thompson	Best Actress	The Remains of the Day	Nominee
1993 (66th)	Emma Thompson	Best Supporting Actress	In the Name of the Father	Nominee
2002 (75th)	Julianne Moore	Best Actress	Far from Heaven	Nominee
2002 (75th)	Julianne Moore	Best Supporting Actress	The Hours	Nominee
2004 (77th)	Jamie Foxx	Best Actor	Ray	Won Academy Award
2004 (77th)	Jamie Foxx	Best Supporting Actor	Collateral	Nominee
2007 (80th)	Cate Blanchett	Best Actress	Elizabeth: The Golden Age	Nominee
