World Rank	Company	Industry	Revenue (billion $)	Profits (billion $)	Assets (billion $)	Market Value (billion $)
332	Maybank	Banking	9.1	1.9	161.4	24.3
467	CIMB Group Holdings	Banking	6.3	1.4	110.2	16.8
516	Tenaga Nasional	Utilities	11.5	1.3	28.3	12.6
542	Sime Darby	Conglomerates	15	1.3	14.9	17.3
594	Public Bank	Banking	4.2	1.3	89.8	18
725	Genting	Hotels, Restaurants & Leisure	5.6	1.4	21.5	11.6
807	Axiata Group	Telecommunications Services	5.8	0. 8	14	17.2
941	Petronas Chemical	Oil & Gas Operations	5.4	1.2	8.3	16.3
973	RHB Capital	Banking	2.0	0.6	61.8	6.8
1125	AMMB Holdings	Banking	2.1	0.5	36.4	6.1
1260	Maxis	Telecommunications Services	2.9	0.6	5.8	15.6
1261	YTL	Utilities	6.4	0. 4	16.3	5.6
1302	Hong Leong Financial Group	Banking	2.3	0.4	53.6	4.8
1317	IOI Group	Food, Drink & Tobacco	4.9	0.6	7.2	9.6
1450	Petronas Gas	Oil & Gas Operations	1.2	0.5	4.4	11.8
1696	Petronas Dagangan	Oil & Gas Operations	9.6	0.3	3.2	7.4
1823	DRB Hicom	Automotive	2.2	0.4	12.9	1.5
1842	MISC Berhad	Transportation	3.1	0.2	12.2	7.4
