Rnd	Race Name	Pole position	Fastest lap	Winning driver	Winning team	Report
1	Australian FAI Indy Car Grand Prix	Nigel Mansell	Nigel Mansell	Michael Andretti	Target Chip Ganassi Racing	Report
2	Valvoline 200	Paul Tracy	Emerson Fittipaldi	Emerson Fittipaldi	Marlboro Team Penske	Report
3	Toyota Grand Prix of Long Beach	Paul Tracy	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
4	78th Indianapolis 500	Al Unser, Jr.	Emerson Fittipaldi	Al Unser, Jr.	Marlboro Team Penske	Report
5	Miller Genuine Draft 200	Raul Boesel	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
6	ITT Automotive Grand Prix of Detroit	Nigel Mansell	Al Unser, Jr.	Paul Tracy	Marlboro Team Penske	Report
7	Budweiser/G. I. Joe´s 200	Al Unser, Jr.	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
8	Budweiser Grand Prix of Cleveland	Al Unser, Jr.	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
9	Molson Indy Toronto	Robby Gordon	Michael Andretti	Michael Andretti	Target Chip Ganassi Racing	Report
10	Marlboro 500	Nigel Mansell	Al Unser, Jr.	Scott Goodyear	Budweiser King Racing	Report
11	Pioneer Electronics 200	Al Unser, Jr.	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
12	Slick 50 200	Emerson Fittipaldi	Emerson Fittipaldi	Al Unser, Jr.	Marlboro Team Penske	Report
13	Molson Indy Vancouver	Robby Gordon	Robby Gordon	Al Unser, Jr.	Marlboro Team Penske	Report
14	Texaco/Havoline 200	Paul Tracy	Nigel Mansell	Jacques Villeneuve	Forsythe / Green Racing	Report
15	Bosch Spark Plug Grand Prix	Emerson Fittipaldi	Emerson Fittipaldi	Paul Tracy	Marlboro Team Penske	Report
