Number	Registration	First flew	Last flew	Flying hours	Location
1	F-WTSS	2 March 1969	19 October 1973	812	The Museum of Air and Space , Le Bourget, France
2	G-BSST	9 April 1969	4 March 1976	836	Fleet Air Arm Museum , Yeovilton , England , UK
101	G-AXDN	17 December 1971	20 August 1977	632	Imperial War Museum , Duxford , England, UK
102	F-WTSA	10 January 1973	20 May 1976	656	Musée Delta, Orly Airport , Paris , France
201	F-WTSB	6 December 1973	19 April 1985	909	Airbus Factory , Toulouse , France
203	F-BTSC	31 January 1975	25 July 2000	11989	Destroyed in air crash outside Paris, France
207	F-BVFB	6 March 1976	24 June 2003	14771	Sinsheim Auto & Technik Museum , Germany
208	G-BOAB	18 May 1976	15 August 2000	22296	Heathrow Airport , London , England, UK
209	F-BVFC	9 July 1976	27 June 2003	14332	Airbus Factory , Toulouse, France
212	G-BOAE	17 March 1977	17 November 2003	23376	Grantley Adams International Airport , Barbados
213	F-BTSD	26 June 1978	14 June 2003	12974	The Museum of Air and Space , Le Bourget , France
214	G-BOAG	21 April 1978	5 November 2003	16239	Museum of Flight , Seattle , USA
215	F-BVFF	26 December 1978	11 June 2000	12421	Paris-Charles de Gaulle Airport , Paris, France
