Year	Date	Type	Species	Author Species	Value	Scott	Yvert	Mitchell	Sta. & Gib.	Order	Family
1968	(20.01)	NOR	Tragopan satyra	(Linnaeus, 1758)	1c	92	143	179	0	Galliformes	Phasianidae
1968	(23.04)	NOR	Lophophorus sclateri	Jerdon, 1870	4n	92G	150	186	0	Galliformes	Phasianidae
1968	(07.12)	NOR	Liocichla phoenicea	(Gould, 1837)	2c	99	198	248	187	Passeriformes	Timaliidae
1968	(28.12)	NOR	Liocichla phoenicea	(Gould, 1837)	20c	0	0	0	0	Passeriformes	Timaliidae
1969	(20.01)	NOR	Liocichla phoenicea	(Gould, 1837)	1.50n	0	0	0	0	Passeriformes	Timaliidae
1969	(05.08)	NOR	Strix aluco	Linnaeus, 1758	15c	0	0	0	0	Strigiformes	Strigidae
1970	(19.06)	NOR	Lophophorus sclateri	Jerdon, 1870	20c	0	0	0	0	Galliformes	Phasianidae
1970	(20.09)	NOR	Tragopan satyra	(Linnaeus, 1758)	85c	0	0	0	0	Galliformes	Phasianidae
1970	(02.11)	NOR	Tragopan satyra	(Linnaeus, 1758)	20c	0	0	0	0	Galliformes	Phasianidae
1971	(01.07)	NOR	Lophophorus impejanus	(Latham, 1790)	55c	0	0	0	0	Galliformes	Phasianidae
1982	(19.04)	NOR	Chloropsis hardwickii	Jardine & Selby, 1830	2n	0	0	0	0	Passeriformes	Irenidae
1985	(29.11)	NOR	Lagopus lagopus	(Linnaeus, 1758)	1n	0	0	0	0	Galliformes	Tetraonidae
1985	(06.12)	NOR	Anas platyrhynchos	Linnaeus, 1758	50c	0	0	0	0	Anseriformes	Anatidae
1987	(25.05)	NOR	Phoenicopterus ruber	Linnaeus, 1758	1n	0	0	0	0	Phoenicopteriformes	Phoenicopteridae
1989	(22.11)	NOR	Chrysocolaptes lucidus	(Scopoli, 1786)	50c	0	0	0	0	Piciformes	Picidae
1990	(21.05)	NOR	Grus japonensis	(Muller, 1776)	25n	0	0	0	0	Gruiformes	Gruidae
1993	(01.07)	NOR	Grus nigricollis	Przewalski, 1876	15n	0	0	0	0	Gruiformes	Gruidae
1995	(01.09)	NOR	Megaceryle lugubris	(Temminck, 1834)	1n	0	0	0	0	Coraciiformes	Alcedinidae
