County	Obama%	Obama#	McCain%	McCain#	Total
Alamance	45.3%	28590	54.7%	34501	63091
Alexander	30.5%	5153	69.5%	11747	16900
Alleghany	39.3%	2017	60.7%	3117	5134
Anson	60.7%	6293	39.3%	4067	10360
Ashe	38.1%	4861	61.9%	7885	12746
Avery	27.8%	2163	72.2%	5617	7780
Beaufort	41.2%	9426	58.8%	13437	22863
Bertie	65.2%	6248	34.8%	3338	9586
Bladen	51.0%	7846	49.0%	7530	15376
Brunswick	41.0%	21280	59.0%	30662	51942
Buncombe	57.1%	69415	42.9%	52236	121651
Burke	40.2%	14623	59.8%	21766	36389
Cabarrus	40.8%	31191	59.2%	45340	76531
Caldwell	34.9%	12007	65.1%	22397	34404
Camden	33.7%	1587	66.3%	3118	4705
Carteret	32.6%	11079	67.4%	22868	33947
Caswell	51.4%	5466	48.6%	5177	10643
Catawba	37.3%	25535	62.7%	42843	68378
Chatham	54.9%	17783	45.1%	14591	32374
Cherokee	30.4%	3748	69.6%	8591	12339
Chowan	49.3%	3652	50.7%	3751	7403
Clay	31.9%	1731	68.1%	3692	5423
Cleveland	40.0%	17274	60.0%	25950	43224
Columbus	46.0%	11088	54.0%	12998	24086
Craven	42.8%	17335	57.2%	23163	40498
Cumberland	58.9%	73926	41.1%	51596	125522
Currituck	34.0%	3685	66.0%	7159	10844
Dare	44.6%	7760	55.4%	9621	17381
Davidson	33.0%	22192	67.0%	45135	67327
Davie	30.6%	6102	69.4%	13846	19948
Duplin	45.2%	8866	54.8%	10734	19600
Durham	76.1%	102237	23.9%	32040	134277
Edgecombe	67.4%	17365	32.6%	8416	25781
Forsyth	55.3%	90712	44.7%	73304	164016
Franklin	49.7%	13022	50.3%	13183	26205
Gaston	37.4%	31247	62.6%	52220	83467
Gates	52.6%	2827	47.4%	2546	5373
Graham	30.9%	1265	69.1%	2824	4089
Granville	53.4%	13010	46.6%	11373	24383
Greene	47.0%	3774	53.0%	4258	8032
Guilford	59.2%	141680	40.8%	97511	239191
Halifax	63.9%	15726	36.1%	8867	24593
Harnett	41.5%	16519	58.5%	23311	39830
Haywood	46.1%	12724	53.9%	14902	27626
Henderson	39.4%	20062	60.6%	30903	50965
Hertford	70.8%	7479	29.2%	3083	10562
Hoke	59.6%	9133	40.4%	6197	15330
Hyde	50.5%	1225	49.5%	1203	2428
Iredell	37.7%	27201	62.3%	44979	72180
Jackson	52.7%	8671	47.3%	7793	16464
Johnston	38.0%	26475	62.0%	43164	69639
Jones	45.7%	2364	54.3%	2807	5171
Lee	45.8%	10703	54.2%	12652	23355
Lenoir	49.8%	13157	50.2%	13281	26438
Lincoln	33.1%	11674	66.9%	23561	35235
Macon	39.2%	6603	60.8%	10262	16865
Madison	49.2%	5011	50.8%	5175	10186
Martin	52.3%	6488	47.7%	5914	12402
McDowell	36.4%	6514	63.6%	11382	17896
Mecklenburg	62.3%	252642	37.7%	152957	405599
Mitchell	28.9%	2220	71.1%	5472	7692
Montgomery	44.3%	4870	55.7%	6125	10995
Moore	39.2%	17534	60.8%	27165	44699
Nash	49.3%	23013	50.7%	23660	46673
New Hanover	49.3%	48588	50.7%	50004	98592
Northampton	65.3%	6893	34.7%	3662	10555
Onslow	39.2%	19296	60.8%	29942	49238
Orange	72.6%	53712	27.4%	20226	73938
Pamlico	42.5%	2820	57.5%	3809	6629
Pasquotank	56.8%	10170	43.2%	7720	17890
Pender	42.1%	9832	57.9%	13517	23349
Perquimans	42.9%	2761	57.1%	3674	6435
Person	45.7%	8410	54.3%	10007	18417
Pitt	54.3%	39763	45.7%	33429	73192
Polk	42.3%	4394	57.7%	5986	10380
Randolph	28.6%	16280	71.4%	40644	56924
Richmond	50.7%	9586	49.3%	9316	18902
Robeson	56.9%	22315	43.1%	16883	39198
Rockingham	42.7%	16730	57.3%	22435	39165
Rowan	38.4%	23272	61.6%	37284	60556
Rutherford	34.0%	9595	66.0%	18631	28226
Sampson	45.7%	11753	54.3%	13952	25705
Scotland	57.6%	8105	42.4%	5972	14077
Stanly	31.5%	8815	68.5%	19193	28008
Stokes	32.2%	6816	67.8%	14335	21151
Surry	35.9%	10399	64.1%	18574	28973
Swain	49.2%	2803	50.8%	2896	5699
Transylvania	43.6%	7203	56.4%	9299	16502
Tyrrell	49.3%	932	50.7%	960	1892
Union	36.5%	31038	63.5%	53882	84920
Vance	63.3%	13095	36.7%	7584	20679
Wake	57.5%	247914	42.5%	183291	431205
Warren	69.0%	6663	31.0%	2992	9655
Washington	58.3%	3734	41.7%	2667	6401
Watauga	52.2%	14513	47.8%	13303	27816
Wayne	45.6%	22507	54.4%	26800	49307
Wilkes	30.6%	8889	69.4%	20152	29041
Wilson	51.9%	19754	48.1%	18338	38092
Yadkin	26.7%	4501	73.3%	12355	16856
