shareholder name	A shares	B shares	% of capital	% of votes
Volkswagen Aktiengesellschaft *	306232239	59037822	45.66	70.94
MAN SE	73047179	33718857	13.35	17.37
Clearstream Banking	1170514	32973450	4.27	1.02
JP Morgan Chase Bank	461584	36220219	4.59	0.93
Swedbank Robur Fonder	0	29043665	3.63	0.66
Skandia Liv	974374	9646318	1.33	0.44
Alecta Pensionsförsäkring	0	19085000	2.39	0.33
AMF Försäkring och fonder	650000	9678411	1.23	0.36
Handelsbanken fonder	0	7202362	0.90	0.16
The Government Pension Fund of Norway	0	6937665	0.87	0.16
largest 10 owners	382535890	243021708	78.19	92.46
Others	17464110	156978292	21.81	7.54
