Rd.	Race Title	Circuit	City / State	Date	Winner	Team	Report
1	Clipsal 500	Adelaide Street Circuit	Adelaide , South Australia	1 - 4 Mar	Todd Kelly	Holden Racing Team	Report
2	BigPond 400	Barbagallo Raceway	Wanneroo , Western Australia	23 - 25 Mar	Garth Tander	HSV Dealer Team	Report
3	PlaceMakers V8 Supercars	Pukekohe Park Raceway	Pukekohe , New Zealand	20 - 22 Apr	Rick Kelly	HSV Dealer Team	Report
4	Winton	Winton Motor Raceway	Benalla , Victoria	18–20 May	Jamie Whincup	Triple Eight Race Engineering	Report
5	Eastern Creek	Eastern Creek Raceway	Sydney , New South Wales	9 - 11 Jun	Mark Skaife	Holden Racing Team	Report
6	Skycity Triple Crown	Hidden Valley Raceway	Darwin , Northern Territory	22 - 24 Jun	Craig Lowndes	Triple Eight Race Engineering	Report
7	Queensland 300	Queensland Raceway	Ipswich , Queensland	20 - 22 Jul	Garth Tander	HSV Dealer Team	Report
8	Jim Beam 400	Oran Park Raceway	Sydney , New South Wales	17 - 19 Aug	Lee Holdsworth	Garry Rogers Motorsport	Report
9	Just Car Insurance 500	Sandown Raceway	Melbourne , Victoria	14 - 16 Sept	Craig Lowndes Jamie Whincup	Triple Eight Race Engineering	Report
10	Supercheap Auto Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	4 - 7 Oct	Craig Lowndes Jamie Whincup	Triple Eight Race Engineering	Report
11	V8 Supercar Challenge	Surfers Paradise Street Circuit	Surfers Paradise , Queensland	18 - 21 Oct	Garth Tander	HSV Dealer Team	Report
12	Desert 400	Bahrain International Circuit	Manama , Bahrain	1 - 3 Nov	Mark Winterbottom	Ford Performance Racing	Report
13	Falken Tasmania Challenge	Symmons Plains Raceway	Launceston , Tasmania	16 - 18 Nov	Jamie Whincup	Triple Eight Race Engineering	Report
