Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1986	4	0	0	1	0	17.0	19.5	$5,390	47th	#03/#07 LaJoie Racing
1987	1	0	0	1	0	23.0	10.0	$1,000	85th	#04 LaJoie Racing
1988	2	0	1	1	0	18.5	21.5	$11,925	97th	#66/#71 LaJoie Racing
1989	15	0	1	3	0	17.7	16.7	$43,505	26th	#71 LaJoie Racing #34 Frank Cicci Racing
1990	6	0	0	0	0	24.8	31.8	$10,917	60th	#71 LaJoie Racing
1993	8	0	3	4	0	13.5	12.4	$43,218	36th	#20 Moroso Racing #74 BACE Motorsports
1994	27	0	4	7	1	17.0	20.0	$131,168	16th	#20 Moroso Racing
1995	9	0	1	3	1	18.8	16.8	$41,740	37th	#64 Shoemaker Racing
1996	26	5	11	20	2	13.2	9.1	$532,823	1st	#74 BACE Motorsports
1997	30	5	15	21	2	12.9	8.2	$1,105,201	1st	#74 BACE Motorsports
1998	31	1	7	12	0	21.3	17.4	$783,703	4th	#74 BACE Motorsports
1999	32	1	6	7	0	21.7	20.4	$811,421	10th	#1 Phoenix Racing
2000	32	1	4	9	0	22.8	17.0	$873,179	7th	#1/#51 Phoenix Racing
2001	33	2	4	8	0	17.6	19.1	$917,791	12th	#7 Evans Motorsports
2002	34	0	3	14	1	15.1	15.7	$1,018,360	11th	#7 Evans Motorsports
