Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
Shahin Bushehr	Hamid Kolali Fard	Sacked	6 Sep 2009	Mahmoud Yavari	8 Sep 2009
Est.Ahvaz	Khodadad Azizi	Resigned	19 Sep 2009	Majid Bagherinia	20 Sep 2009
Foolad	Luka Bonačić	Sacked	28 Sep 2009	Majid Jalali	28 Sep 2009
Pas Hamedan	Alireza Mansourian	Resigned	6 Oct 2009	Ali Asghar Modir Roosta	8 Oct 2009
Aboomoslem	Nasser Pourmehdi	Sacked	29 Oct 2009	Farhad Kazemi	29 Oct 2009
Saba Qom	Mohammad Hossein Ziaei	Resigned	9 Nov 2009	Rasoul Korbekandi	9 Nov 2009
Mes Kerman	Parviz Mazloomi	Sacked	30 Nov 2009	Luka Bonačić	9 Dec 2009
Rah Ahan	Ernie Brandts	Sacked	12 Dec 2009	Mehdi Tartar	12 Dec 2009
Malavan	Mohammad Ahmadzadeh	Sacked	23 Dec 2009	Farhad Pourgholami	27 Dec 2009
Aboomoslem	Farhad Kazemi	Resigned	24 Dec 2009	Parviz Mazloomi	27 Dec 2009
Persepolis	Zlatko Kranjčar	Sacked	28 Dec 2009	Ali Daei	28 Dec 2009
Est.Ahvaz	Majid Bagherinia	Sacked	22 Jan 2010	Mohammad Ahmadzadeh	5 Feb 2010
Est.Ahvaz	Mohammad Ahmadzadeh	Resigned	9 Feb 2010	Mehdi Hasheminasab	17 Feb 2010
Moghavemat	Davoud Mahabadi	Resigned	26 Feb 2010	Mohammad Ahmadzadeh	1 Mar 2010
Aboomoslem	Parviz Mazloomi	Resigned	Mar2010	Ali Hanteh	Mar 2010
Est.Ahvaz	Mehdi Hasheminasab	Resigned	Apr 2010	Alireza Firouzi	Apr 2010
