Best Male MC	Best Female MC	Best Male Artist	Best Female Artist	Best Male Lyricist	Best Female Lyricist	Best Male Record
Soul Kryziz	Nessacary	Yung Mook	Nessacary	Syx Slim	Chevy Blue	What are Yooou Doing? by Proph the Problem
Best Female Record	Best Male Group	Best Female Group	Best Male Group Record	Best Female Group Record	Best Male Street MC	Best Female Street MC
Becky Look at Her Butt by Niki Swaggwell	Tino Baby & 5'6"	L.O.L.	Sweet 16 by F^Up	Same Thing by So Sassy GirlZ	Money Mone	J.O
Best Street Record	Best Street Album	Best Lyrical Record	Best Song	Best Album	Best Collab	Best Mixed Collab
Crusin' Down the Street by J-Me-Jame	Lady Wrecker by J.O	What are Yooou Doing? by Proph the Problem	What are Yooou Doing? by Proph the Problem	The Restaurant by Darren Anthony	Apple Bottoms by Niccotine & Nessacary	Apple Bottoms by Niccotine & Nessacary
Best Male Collab	Best Female Collab	Best Collaborator	Best R&B/Rap Collab	Best R&B Contributor	Voice of Cleveland	Best Producer
The It by Navy Blu & Twizted Mind	I'm Fresh, I'm Bad by Neshia Nee & Nessacary	Yung Mook	They Love It by Tank & Cristo Jeanette	Cristo Jeanette	Navy Blu	Zup
Best New Male MC	Best New Female MC	Top Ringtone	Top Ringtone Artist	Artist's MC	Male Chart Topper	Female Chart Topper
Darren Anthony	Lil Kee	Becky Look at Her Butt by Niki Swaggwell	Prima	Mz Crazy Tee	Yung Mook	Nessacary
Best Model	Best New Model	Best Model Look	Best Model Body	Best Athlete	People's Male MC	People's Female MC
