#	Date	Visitor	Score	Arena Attendance	High Points	High Rebounds	High Assists	Record
60	March 2	@ LA Lakers	L 99-122	Staples Center 18,997	T. Murphy (17)	T. Murphy (13)	E. Watson (10)	20-40
61	March 3	@ Portland	L 79-102	Rose Garden 20,623	D. Granger (30)	B. Rush (8)	T. Ford (5)	20-41
62	March 5	@ Denver	L 114-122	Pepsi Center 19,155	D. Granger (32)	T. Murphy (9)	T. Ford (4) J. McRoberts (4)	20-42
63	March 6	@ Phoenix	L 105-113	US Airways Center 18,180	D. Granger (24)	T. Murphy (16)	T. Ford (5)	20-43
64	March 9	vs. Philadelphia	W 107-96	Conseco Fieldhouse 11,535	D. Jones (25)	R. Hibbert (11)	E. Watson (10)	21-43
65	March 12	@ Boston	L 103-122	TD Garden 18,624	R. Hibbert (23)	T. Murphy (9)	B. Rush (6) E. Watson (6)	21-44
66	March 14	@ Milwaukee	L 94-98	Bradley Center 15,107	D. Granger (29)	T. Murphy (12)	4 players (3)	21-45
67	March 16	vs. Charlotte	W 99-94	Conseco Fieldhouse 10,850	D. Granger (26)	T. Murphy (13)	T. Murphy (5)	22-45
68	March 17	@ Cleveland	L 94-99	Quicken Loans Arena 20,562	R. Hibbert (20)	T. Murphy (15)	D. Jones (6) A. Price (6)	22-46
69	March 19	vs. Detroit	W 106-102	Conseco Fieldhouse 13,583	D. Granger (29)	T. Murphy (8)	E. Watson (11)	23-46
70	March 21	vs. Oklahoma City	W 121-101	Conseco Fieldhouse 14,701	D. Granger (32)	T. Murphy (13)	E. Watson (8)	24-46
71	March 23	@ Detroit	W 98-83	The Palace of Auburn Hills 17,109	D. Granger (32)	T. Murphy (12)	E. Watson (13)	25-46
72	March 24	vs. Washington	W 99-82	Conseco Fieldhouse 12,504	D. Granger (31)	T. Murphy (19)	E. Watson (7)	26-46
73	March 26	vs. Utah	W 122-106	Conseco Fieldhouse 15,463	D. Granger (44)	T. Murphy (9)	R. Hibbert (6) E. Watson (6)	27-46
74	March 28	@ Atlanta	L 84-94	Philips Arena 16,646	T. Murphy (21)	T. Murphy (14)	E. Watson (13)	27-47
