States	No. of MLA/MPs	Value of each Vote	K.R. Narayanan (Votes)	K.R. Narayanan (Values)	T.N. Seshan (Votes)	T.N. Seshan (Values)	Invalid (Votes)	Invalid (Values)
Members of Parliament	776	708	676	478608	26	18408	32	22656
Andhra Pradesh	294	148	254	37592	9	1332	17	2516
Arunachal Pradesh	60	8	56	448	0	0	3	24
Assam	126	116	110	12760	5	580	1	116
Bihar	324	174	285	49590	8	1392	15	2610
Goa	40	20	35	700	2	40	3	60
Gujarat	182	147	156	22932	11	1617	7	1029
Haryana	90	112	77	8624	3	336	6	672
Himachal Pradesh	68	51	63	3213	0	0	2	102
Jammu and Kashmir	87	72	74	5328	1	72	4	288
Karnataka	224	131	191	25021	13	1703	11	1441
Kerala	140	152	135	20520	0	0	2	304
Madhya Pradesh	320	130	296	38480	9	1170	13	1690
Maharastra	288	175	173	30275	96	16800	1	175
Manipur	60	18	52	936	4	72	0	0
Meghalaya	60	17	43	731	10	170	4	68
Mizoram	40	8	34	272	2	16	0	0
Nagaland	60	9	55	495	2	18	0	0
Orissa	147	149	132	19668	0	0	9	1341
Punjab	117	116	106	12296	1	116	7	812
Rajasthan	200	129	174	22446	4	516	12	1548
Sikkim	32	7	31	217	0	0	0	0
Tamil Nadu	234	176	229	40304	2	352	2	352
Tripura	60	26	59	1534	0	0	0	0
Uttar Pradesh	425	208	377	78416	24	4992	7	1456
West Bengal	294	151	272	41072	5	755	4	604
Delhi	70	58	58	3364	3	174	8	464
Pondicherry	30	16	28	448	0	0	1	16
TOTAL	4848	3232	4231	956290	240	50631	171	22656
