Province	Mahmoud Ahmadinejad	Mehdi Karroubi	Mir-Hossein Mousavi	Mohsen Rezaee	Spoiled ballots	Total votes
Ardabil	325911	2319	302825	6578	4372	642005
Azarbaijan, East	1131111	7246	837858	16920	17205	2010340
Azarbaijan, West	623946	21609	656508	12199	20094	1334356
Bushehr	299357	3563	177268	7607	6193	493989
Chahar Mahaal and Bakhtiari	359578	4127	106099	22689	2953	495446
Fars	1758026	16277	706764	23871	18359	2523300
Gilan	998573	7183	453806	12022	11674	1483258
Golestan	515211	10097	325806	5987	14266	869453
Hamadan	765723	12032	218481	13117	9816	1019169
Hormozgan	482990	5126	241988	7237	5683	843024
Ilam	199654	7471	96826	5221	3495	312667
Isfahan	1799255	14579	746697	51788	25162	2637482
Kerman	1160446	4977	318250	12016	10125	1505814
Kermanshah	573568	10798	374188	11258	13610	983422
Khorasan, North	341104	2478	113218	4129	3072	464001
Khorasan, Razavi	2214801	13561	884570	44809	24240	3181990
Khorasan, South	285983	928	90363	3962	1920	383157
Khuzestan	1303129	15934	552636	139124	28022	2038845
Kohgiluyeh and Boyer-Ahmad	253962	4274	98937	8542	2311	368707
Kurdistan	315689	13862	261772	7140	12293	610757
Lorestan	677829	44036	219156	14920	8329	964270
Markazi	572988	4675	190349	10057	7889	785961
Mazandaran	1289257	10050	585373	19587	15571	1919838
Qazvin	498061	2690	177542	7978	6084	692355
Qom	422457	2314	148467	16297	9505	599040
Semnan	295177	2147	77754	4440	3790	383308
Sistan and Baluchestan	450269	12504	507946	6616	5585	982920
Tehran	3819945	67334	3371523	147487	115701	7521540
Yazd	337178	2565	255799	8406	5908	609856
Zanjan	444480	2223	126561	7276	5181	585721
