-	Club	Played	Won	Drawn	Lost	Points For	Points Against	Points Difference	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
1	Leicester Tigers (Q) (C)	22	15	1	6	541	325	216	46	18	7	4	73
2	Northampton Saints (Q)	22	16	0	6	472	322	150	44	26	2	5	71
3	Saracens (q) (F)	22	15	1	6	480	367	113	39	22	2	5	69
4	Bath Rugby (q)	22	12	2	8	450	366	84	49	33	5	4	61
5	London Wasps	22	13	0	9	394	399	−5	35	31	2	3	57
6	London Irish	22	10	3	9	469	384	85	42	33	3	3	52
7	Gloucester Rugby	22	10	1	11	470	457	13	46	42	2	4	48
8	Harlequins	22	9	2	11	420	484	−64	42	46	3	3	46
9	Newcastle Falcons	22	6	4	12	319	431	−112	20	41	1	4	37
10	Leeds Carnegie	22	7	1	14	280	454	−174	17	43	0	6	36
11	Sale Sharks	22	6	1	15	333	495	−162	24	51	0	6	32
