April 2013 Cum. Rank	Name	Rank 2012	Rank 2013	Base	2013 rev (bil. USD )	2013 Profit (mil. USD )	Assets 2013 (bil.$)	Market cap March 15 (mil.$)
1	Freeport-McMoRan	235	273	United States	18.0	3,000	35.4	23100
2	Newmont Mining	639	448	United States	9.9	1,800	29.6	19700
3	Goldcorp	507	559	Canada	5.4	1,700	31.2	26400
4	Barrick Gold	225	659	Canada	14.5	(700)	47.3	28700
5	Newcrest Mining	735	744	Australia	4.5	1,100	20.8	17500
6	Anglogold Ashanti	794	936	South Africa	6.1	800	12.6	9500
7	Yamana Gold	1219	1279	Canada	2.3	400	11.8	11600
8	Polyus Gold	1810	1293	Russia	2.8	900	5.6	9800
9	Gold Fields	968	1435	South Africa	3.4	700	11.2	5900
10	Kinross Gold	1384	1551	Canada	4.3	(2500)	14.9	9100
11	Buenaventura	1276	1601	Peru	1.5	700	4.5	6300
12	Shandong Gold-Mining	1980	1613	China	6.3	300	2.0	7600
