User	Unit (kWh)/Time range	Tariff ( Rs. /kWh)	Fixed Charge ( Rs. /kWh)	Fuel Adjustment Charge (% of Total Energy Charge)	Max. Demand Charge ( Rs. /kVA)
Religious (R-1)	000-030	1.90	30.00	N/A	N/A
Religious (R-1)	031-090	2.80	60.00	N/A	N/A
Religious (R-1)	091-120	6.75	180.00	N/A	N/A
Religious (R-1)	121-180	7.50	180.00	N/A	N/A
Religious (R-1)	≥181	9.40	240.00	N/A	N/A
General Purpose (GP)	GP-1: ≤210	19.50	240.00	25	N/A
General Purpose (GP)	GP-1: ≥211	21.50	240.00	25	N/A
General Purpose (GP)	GP-2: Day (05:30-18:30)	20.50	3,000.00	25	1,100
General Purpose (GP)	GP-2: Peak (18:30-22:30)	25.00	3,000.00	25	1,100
General Purpose (GP)	GP-2: Off-peak (22:30-05:30)	14.50	3,000.00	25	1,100
General Purpose (GP)	GP-3: Day (05:30-18:30)	19.50	3,000.00	25	1,000
General Purpose (GP)	GP-3: Peak (18:30-22:30)	24.00	3,000.00	25	1,000
General Purpose (GP)	GP-3: Off-peak (22:30-05:30)	13.50	3,000.00	25	1,000
Hotel (H)	H-1: ∞	22.00	600.00	15	N/A
Hotel (H)	H-2: Day (05:30-18:30)	15.00	3,000.00	15	1,100
Hotel (H)	H-2: Peak (18:30-22:30)	24.00	3,000.00	15	1,100
Hotel (H)	H-2: Off-peak (22:30-05:30)	10.00	3,000.00	15	1,100
Hotel (H)	H-3: Day (05:30-18:30)	12.60	3,000.00	15	1,000
Hotel (H)	H-3: Peak (18:30-22:30)	16.40	3,000.00	15	1,000
Hotel (H)	H-3: Off-peak (22:30-05:30)	8.85	3,000.00	15	1,000
Industry (I)	I-1: ∞	12.50	600.00	15	N/A
Industry (I)	I-2: Day (05:30-18:30)	11.30	3,000.00	15	1,100
Industry (I)	I-2: Peak (18:30-22:30)	21.00	3,000.00	15	1,100
Industry (I)	I-2: Off-peak (22:30-05:30)	7.00	3,000.00	15	1,100
Industry (I)	I-3: Day (05:30-18:30)	10.50	3,000.00	15	1,000
Industry (I)	I-3: Peak (18:30-22:30)	24.00	3,000.00	15	1,000
Industry (I)	I-3: Off-peak (22:30-05:30)	6.00	3,000.00	15	1,000
