District	Representative	Party	Residence	First Elected	Term Limited
1	Linda Bolon	Dem	East Palestine	2006	2014
2	Kris Jordan	Rep	Dublin	2008	2016
3	Ron Amstutz	Rep	Wooster	2008	2016
4	Matt Huffman	Rep	Lima	2006	2014
5	Gerald Stebleton	Rep	Lancaster	2006	2014
6	Randy Gardner	Rep	Bowling Green	2008 (Appt.)	2016
7	Kenny Yuko	Dem	Richmond Heights	2004	2012
8	Armond Budish	Dem	Beachwood	2006	2014
9	Barbara Boyd	Dem	Cleveland Heights	2006	2014
10	Robin Belcher	Dem	Cleveland	2009 (Appt.)	2018
11	Sandra Williams	Dem	Cleveland	2006	2014
12	Michael DeBose	Dem	Cleveland	2002 (Appt.)	2010
13	Michael J. Skindell	Dem	Lakewood	2002	2010
14	Michael Foley	Dem	Cleveland	2006 (Appt.)	2014
15	Timothy J. DeGeeter	Dem	Parma	2003 (Appt.)	2012
16	Nan Baker	Rep	Westlake	2008	2016
17	Josh Mandel	Rep	Lyndhurst	2006	2014
18	Matt Patten	Dem	Strongsville	2008	2016
19	Marian Harris	Dem	Columbus	2008	2016
20	Nancy Garland	Dem	New Albany	2008	2016
21	Kevin Bacon	Rep	Columbus	2006	2014
22	John Patrick Carney	Dem	Clintonville	2008	2016
23	Cheryl Grossman	Rep	Grove City	2008	2016
24	Ted Celeste	Dem	Upper Arlington	2006	2014
25	Dan Stewart	Dem	Columbus	2002	2010
26	Tracy Maxwell Heard	Dem	Columbus	2006	2014
27	W. Carlton Weddington	Dem	Columbus	2008	2016
28	Connie Pillich	Dem	Montgomery	2008	2016
29	Lou Blessing	Rep	Cincinnati	2004	2012
30	Robert Mecklenborg	Rep	Cincinnati	2007 (Appt.)	2016
31	Denise Driehaus	Dem	Cincinnati	2008	2016
32	Dale Mallory	Dem	Cincinnati	2006	2014
33	Alicia Reece	Dem	Cincinnati	2010 (Appt.)	2018
34	Peter Stautberg	Rep	Anderson Twp.	2008	2016
35	Ron Maag	Rep	Lebanon	2008	2016
36	Seth Morgan	Rep	Huber Heights	2008	2016
37	Peggy Lehner	Rep	Kettering	2008	2016
38	Terry Blair	Rep	Washington Twp.	2008	2016
39	Clayton Luckie	Dem	Dayton	2006 (Appt.)	2014
40	Roland Winburn	Dem	Harrison Twp.	2008	2016
41	Brian Williams	Dem	Akron	2004	2012
42	Mike Moran	Dem	Hudson	2008	2016
43	Steve Dyer	Dem	Green	2006	2014
44	Vernon Sykes	Dem	Akron	2006	2014
45	John Otterman	Dem	Akron	2008 (Appt.)	2016
46	Barbara Sears	Rep	Sylvania	2008 (Appt.)	2016
47	Joe Walter	Dem	Toledo	2010 (Appt.)	2018
48	Edna Brown	Dem	Toledo	2001 (Appt.)	2010
49	Matt Szollosi	Dem	Toledo	2006	2014
50	Todd Snitchler	Rep	Uniontown	2008	2016
51	Scott Oelslager	Rep	Canton	2002	2010
52	Stephen Slesnick	Dem	Canton	2008 (Appt.)	2016
53	Timothy Derickson	Rep	Hanover Twp	2008	2016
54	Courtney Combs	Rep	Hamilton	2004 (Appt.)	2012
55	Bill Coley	Rep	West Chester Twp.	2004	2012
56	Joseph Koziura	Dem	Lorain	2001 (Appt.)	2010
57	Matt Lundy	Dem	Elyria	2006	2014
58	Terry Boose	Rep	Norwalk	2008	2016
59	Ron Gerberry	Dem	Austintown	2007 (Appt.)	2016
60	Bob Hagan	Dem	Youngstown	2006	2014
61	Mark Okey	Dem	Carrollton	2006	2014
62	Lorraine Fende	Dem	Willowick	2004	2012
63	Mark Schneider	Dem	Mentor	2008	2016
64	Tom Letson	Dem	Warren	2006	2014
65	Sandra Harwood	Dem	Niles	2002	2010
66	Joe Uecker	Rep	Loveland	2004	2012
67	Peter Beck	Rep	Mason	2009 (Appt.)	2018
68	Kathleen Chandler	Dem	Kent	2002	2010
69	William G. Batchelder	Rep	Medina	2006	2014
70	Jarrod Martin	Rep	Beavercreek	2008	2016
71	Jay Hottinger	Rep	Newark	2006	2014
72	Ross McGregor	Rep	Springfield	2005 (Appt.)	2014
73	Jay Goyal	Dem	Mansfield	2006	2014
74	Bruce Goodwin	Rep	Defiance	2006	2014
75	Lynn Wachtmann	Rep	Napoleon	2006	2014
76	Cliff Hite	Rep	Findlay	2006	2014
77	Jim Zehringer	Rep	Fort Recovery	2007 (Appt.)	2016
78	John Adams	Rep	Sidney	2006	2014
79	Richard Adams	Rep	Troy	2008	2016
80	Dennis Murray	Dem	Sandusky	2008	2016
81	Jeff Wagner	Rep	Sycamore	2002	2010
82	Jeffrey McClain	Rep	Upper Sandusky	2008	2016
83	David Burke	Rep	Marysville	2008	2016
84	Bob Hackett	Rep	London	2008	2016
85	Raymond Pryor	Dem	Chillicothe	2008	2016
86	David T. Daniels	Rep	Greenfield	2002	2010
87	Clyde Evans	Rep	Rio Grande	2002	2010
88	Danny Bubp	Rep	West Union	2004	2012
89	Todd Book	Dem	McDermott	2002	2010
90	Margaret Ruhl	Rep	Mount Vernon	2008	2016
91	Dan Dodd	Dem	Hebron	2006	2014
92	Debbie Phillips	Dem	Athens	2008	2016
93	Larry Woodford	Dem	Marietta	2010 (Appt.)	2020
94	Troy Balderson	Rep	Muskingum	2008	2016
95	John Domenick	Dem	Smithfield	2002	2010
96	Joshua O'Farrell	Dem	New Philadelphia	2010 (Appt.)	2018
97	Dave Hall	Rep	Killbuck	2008	2016
98	Richard Hollington	Rep	Chagrin Falls	2010 (Appt.)	2018
