District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	Thomas Wilson	Federalist	1811	Lost re-election Democratic-Republican gain	John G. Jackson (DR) 60.2% Thomas Wilson (F) 39.8%
Virginia 2	John Baker	Federalist	1811	Retired Federalist hold	Francis White (F)
Virginia 3	John Smith	Democratic-Republican	1801	Re-elected	John Smith (DR) 82.8% Robert Page (F) 17.2%
Virginia 7	None (District created)	None (District created)	None (District created)	New seat Federalist gain	Hugh Caperton (F) 53.8% Ballard Smith (DR) 46.2%
Virginia 10	Aylett Hawes Redistricted from the 9th district	Democratic-Republican	1811	Re-elected	Aylett Hawes (DR) Philip R. Thompson (DR)
Virginia 11	John Dawson Redistricted from the 10th district	Democratic-Republican	1797	Re-elected	John Dawson (DR) 97.7% Stapleton Crutchfield 1.2%
Virginia 12	John Roane Redistricted from the 11th district	Democratic-Republican	1809	Re-elected	John Roane (DR) 73.0% James Hunter (F) 26.8%
Virginia 16	John Randolph Redistricted from the 15th district	Democratic-Republican	1799	Lost re-election Democratic-Republican hold	John W. Eppes (DR) 54.3% John Randolph (DR) 45.7%
Virginia 20	Edwin Gray Redistricted from the 19th district	Democratic-Republican	1799	Lost re-election Democratic-Republican hold	James Johnson (DR) 67.3% Edwin Gray (DR) 32.7%
Virginia 22	Hugh Nelson Redistricted from the 21st district	Democratic-Republican	1811	Re-elected	Hugh Nelson (DR)
