District	Incumbent	Party	Elected	Status	Result
Georgia's 1st	Jack Kingston	Republican	1992	Re-elected	Jack Kingston (R) unopposed
Georgia's 2nd	Sanford Bishop	Democratic	1992	Re-elected	Sanford Bishop (D) 57% Joseph McCormick (R) 43%
Georgia's 3rd	Mac Collins	Republican	1992	Re-elected	Mac Collins (R) unopposed
Georgia's 4th	Cynthia McKinney	Democratic	1992	Re-elected	Cynthia McKinney (D) 61% Sunny Warren (R) 39%
Georgia's 5th	John Lewis	Democratic	1986	Re-elected	John Lewis (D) 79% John Lewis Sr. (R) 21%
Georgia's 6th	Johnny Isakson	Republican	1999	Re-elected	Newt Gingrich (R) 71% Gary Pelphrey (D) 29%
Georgia's 7th	Bob Barr	Republican	1994	Re-elected	Bob Barr (R) 55% James Williams (D) 45%
Georgia's 8th	Saxby Chambliss	Republican	1994	Re-elected	Saxby Chambliss (R) 62% Ronald Cain (D) 38%
Georgia's 9th	Nathan Deal	Republican	1992	Re-elected	Nathan Deal (R) unopposed
Georgia's 10th	Charlie Norwood	Republican	1994	Re-elected	Charlie Norwood (R) 59% Marion Freeman (D) 41%
