No.	Title	Lyricist	Composer	Arrangement	Sound Engineer	Length
1	Law Hakon '3er Leek	Walid El 3'azaly	Karim Mohsen	Karim Abdelwahab	Karim Abdelwahab	04:15
2	Ain Shams	Mohammed Goma'a	Mohammed Rahim	Amir Mahrous	Amir Mahrous	04:26
3	Se7it 3ala Sotha	Amir Ta'eima	Aziz El Shafe'ey	Wesam Abdelmone'eim	Hani Mahrous	03:48
4	Etamen (feat. 3aliaa)	Tamer Hosny - Mohammed Rahim	Mohammed Rahim - Tamer Hosny	Tamim	Hani Mahrous	05:15
5	Lawel Mara	Shaimaa' El Sherbiny	Tamer Hosny - Karim Mohsen	Galal Fahmy	Amir Mahrous	03:43
7	Aflt Alby	Ahmed Metwally	Mohammed El Sawy	Mohammed Zakzouk	Amir Mahrous	04:32
8	Yana Ya Mafish	Amir Ta'eima	Mohammed El Nady	Mohammed Shafik - Karim Osama	Amir Mahrous	04:27
9	Mestany El Yom	Walid El 3'azaly	Karim Mohsen	Karim Abdelwahab	Amir Mahrous	04:29
10	Ya Wa7shny	Tayam	Ali Sha'aban	Tamim	Hani Mahrous	03:28
11	Bets3ab 3alia Nafsy	Tamer Hosny	Tamer Hosny	Nour	Amir Mahrous	03:44
12	Kam Wa7ed Fina	Tamer Hosny	Tamer Hosny	Medhat Khamis	Hani Mahrous	05:16
13	Te3rafy	Mohammed Abdelgaber	Mohammed Rahim	Esmat Wagih	Karim Abdelwahab	03:57
