Pick	Player	Position	Nationality	NHL team	College/junior/club team
79.	Alyn McCauley	Centre	Canada	New Jersey Devils (from Ottawa)	Ottawa 67's (OHL)
80.	Dave Duerden	Left Wing	Canada	Florida Panthers (from New York Islanders)	Peterborough Petes (OHL)
81.	Tomi Kallio	Right Wing	Finland	Colorado Avalanche (from Anaheim)	Kiekko-67 Turku (Finland)
82.	Chris Van Dyk	Defence	Canada	Chicago Blackhawks (from Tampa Bay via Anaheim)	Windsor Spitfires (OHL)
83.	Mike Minard	Goaltender	Canada	Edmonton Oilers	Chilliwack Chiefs ( BCJHL )
84.	Justin Kurtz	Defence	Canada	Winnipeg Jets	Brandon Wheat Kings (WHL)
85.	Ian MacNeil	Centre	Canada	Hartford Whalers (from Los Angeles)	Oshawa Generals (OHL)
86.	Jonathan Delisle	Right Wing	Canada	Montreal Canadiens	Hull Olympiques (QMJHL)
87.	Sami Kapanen	Right Wing	Finland	Hartford Whalers	HIFK Helsinki (Finland)
88.	Daniel Tjarnqvist	Defence	Sweden	Florida Panthers	Rögle BK (Sweden)
89.	Kevin Bolibruck	Defence	Canada	Ottawa Senators (from Dallas via Florida)	Peterborough Petes (OHL)
90.	Vesa Toskala	Goaltender	Finland	San Jose Sharks	Ilves (Finland)
91.	Marc Savard	Centre	Canada	New York Rangers	Oshawa Generals (OHL)
92.	Lloyd Shaw	Defence	Canada	Vancouver Canucks	Seattle Thunderbirds (WHL)
93.	Sebastien Charpentier	Goaltender	Canada	Washington Capitals (from Toronto)	Laval Titan Collège Français (QMJHL)
94.	Matt Davidson	Right Wing	Canada	Buffalo Sabres	Portland Winterhawks (WHL)
95.	Joel Theriault	Defence	Canada	Washington Capitals	Beauport Harfangs (QMJHL)
96.	Henrik Rehnberg	Defence	Sweden	New Jersey Devils	Färjestad BK (Sweden)
97.	Pavel Kriz	Defence	Czech Republic	Chicago Blackhawks	Tri-City Americans (WHL)
98.	Jan Labraaten	Left Wing	Sweden	Calgary Flames	Farjestad BK (Sweden)
99.	Cameron Mann	Right Wing	Canada	Boston Bruins	Peterborough Petes (OHL)
101.	Michal Handzus	Centre	Slovakia	St. Louis Blues	Banská Bystrica (Slovakia)
102.	Oleg Belov	Centre	Russia	Pittsburgh Penguins	HC CSKA Moscow (Russia)
103.	Kevin Boyd	Left Wing	Canada	Ottawa Senators (from Colorado)	London Knights (OHL)
