Season	Level	Division	Section	Position	Movements
1999	Tier 7	Division 6	Ångermanland Södra/Västra	6th	SUIF/Docksta
2000	Tier 7	Division 6	Ångermanland Södra/Västra	6th	SUIF/Docksta
2001	Tier 7	Division 6	Ångermanland Södra/Västra	1st	SUIF/Docksta - Promoted
2002	Tier 6	Division 5	Ångermanland	5th	SUIF/Docksta
2003	Tier 6	Division 5	Ångermanland	1st	SUIF/Docksta - Promoted
2004	Tier 5	Division 4	Ångermanland	1st	SUIF/Docksta - Promotion Playoffs
2005	Tier 5	Division 4	Ångermanland	11th	SUIF/Docksta - Relegated
2006*	Tier 7	Division 5	Ångermanland	2nd	Högakusten - Promoted
2007	Tier 6	Division 4	Ångermanland	7th	Högakusten
2008	Tier 6	Division 4	Ångermanland	9th	Högakusten
2009	Tier 6	Division 4	Ångermanland	1st	Högakusten - Promoted
