Player	Nationality	Position	Years in Toronto	School/Club Team
Austin Daye	United States	Forward	2013-present	Gonzaga
Lloyd Daniels	United States	Guard-Forward	1997-98	Mt. San Antonio College
Kornel David	Hungary	Forward	2000-01	Albacomp Székesfehérvár ( Hungary )
Antonio Davis	United States	Forward-Center	1999-2003, 2006	UTEP
Ed Davis	United States	Forward	2010-2013	North Carolina
Hubert Davis	United States	Guard	1996-97	North Carolina
Carlos Delfino	Argentina	Guard-Forward	2007-08	Skipper Bologna ( Italy )
Justin Dentmon	United States	Guard	2012	Washington
DeMar DeRozan	United States	Guard	2009-present	USC
Derrick Dial	United States	Guard	2001-02	Eastern Michigan
Juan Dixon	United States	Guard	2007-08	Maryland
Joey Dorsey	United States	Forward-Center	2010-11	Memphis
Quincy Douby	United States	Guard	2009	Rutgers
Ronald Dupree	United States	Forward	2010-11	LSU
