Date	Tournament	Location	Score	Honduras scorers
June 2, 2013	Friendly	New York , United States	0–2	None
June 7, 2013	2014 World Cup Qualifier	San José , Costa Rica	0–1	None
June 11, 2013	2014 World Cup Qualifier	Tegucigalpa , Honduras	2–0	Garcia 10' , Rojas 88'
June 18, 2013	2014 World Cup Qualifier	Sandy , United States	0–1	None
July 8, 2013	2013 CONCACAF Gold Cup	Harrison , United States	2–0	R Martínez 4' , Chavez 77'
July 12, 2013	2013 CONCACAF Gold Cup	Miami Gardens , United States	1–0	Claros 90+2'
July 15, 2013	2013 CONCACAF Gold Cup	Houston , United States	0–2	None
July 21, 2013	2013 CONCACAF Gold Cup	Baltimore , United States	1–0	Najar 49'
July 24, 2013	2013 CONCACAF Gold Cup	Arlington , United States	1-3	Medina 52'
September 6, 2013	2014 World Cup Qualifier	Mexico City , Mexico	2-1	Bengtson 62' , Costly 66'
September 10, 2013	2014 World Cup Qualifier	Tegucigalpa , Honduras	2-2	Costly 27' , Palacios 61'
October 11, 2013	2014 World Cup Qualifier	San Pedro Sula , Honduras	1-0	Bengston 62'
October 15, 2013	2014 World Cup Qualifier	Kingston , Jamaica	2–2	Costly 1' , Figueroa 33'
