Year	English title	Original title	Country	Director
2000	Crouching Tiger, Hidden Dragon	Wo hu cang long	China	Ang Lee
2001	Amélie	Le fabuleux destin d'Amélie Poulain	France/Germany	Jean-Pierre Jeunet
2002	And Your Mother Too	Y tu mamá también	Mexico	Alfonso Cuarón
2003	City of God	Cidade de Deus	Brazil	Fernando Meirelles
2004	Hero	Ying xiong	China/Hong Kong	Zhang Yimou
2005	Downfall	Der Untergang	Germany	Oliver Hirschbiegel
2006	Pan's Labyrinth	El laberinto del fauno	Mexico	Guillermo Del Toro
2007	The Diving Bell and the Butterfly	Le scaphandre et le papillon	France/USA	Julian Schnabel
2008	Let the Right One In	Låt den rätte komma in	Sweden	Tomas Alfredson
2009	The White Ribbon	Das weiße Band, Eine deutsche Kindergeschichte	Germany	Michael Haneke
