Latin Letter	Code Abbr.	Local letter	Code Name	Official Name	Capital
A	HA	ހއ	Haa Alif	Thiladhunmathi Uthuruburi	Didhdhoo
B	HDh	ހދ	Haa Dhaalu	Thiladhunmathi Dhekunuburi	Kulhudhuffushi
C	Sh	ށ	Shaviyani	Miladhunmadulu Uthuruburi	Funadhoo
D	N	ނ	Noonu	Miladhunmadulu Dhekunuburi	Manadhoo
E	R	ރ	Raa	Maalhosmadulu Uthuruburi	U'ngoofaaru
F	B	ބ	Baa	Maalhosmadulu Dhekunuburi	Eydhafushi
G	Lh	ޅ	Lhaviyani	Faadhippolhu	Naifaru
H	K	ކ	Kaafu	Malé Atholhu	Maafushi
U	AA	އއ	Alif Alif	Ari Atholhu Uthuruburi	Rasdhoo
I	ADh	އދ	Alif Dhaal	Ari Atholhu Dhekunuburi	Mahibadhoo
J	V	ވ	Vaavu	Felidhu Atholhu	Felidhoo
K	M	މ	Meemu	Mulak Atholhu	Muli
L	F	ފ	Faafu	Nilandhe Atholhu Uthuruburi	Nilandhoo
M	Dh	ދ	Dhaalu	Nilandhe Atholhu Dhekunuburi	Kudahuvadhoo
N	Th	ތ	Thaa	Kolhumadulu	Veymandoo
O	L	ލ	Laamu	Haddhunmathi	Fonadhoo
P	GA	ގއ	Gaafu Alif	Huvadhu Atholhu Uthuruburi	Villingili
Q	GDh	ގދ	Gaafu Dhaalu	Huvadhu Atholhu Dhekunuburi	Thinadhoo
R	Gn	ޏ	Gnaviyani	Fuvahmulah	Fuvahmulah
