Player	Nationality	Position	From	School/Country
, Edwin Kachan	United States	Guard	1948	DePaul
, Ed Kalafat	United States	Forward/Center	1954	Minnesota
, Jason Kapono	United States	Forward	2011	UCLA
, Coby Karl	United States	Guard	2007	Boise State
, Jerome Kersey	United States	Forward	1996	Longwood
, Randolph Keys	United States	Guard/Forward	1994	Southern Mississippi
, Earnie Killum	United States	Guard	1970	Stetson
, Frankie King	United States	Guard	1995	Western Carolina
, Jim King	United States	Guard	1963	Tulsa
, Joe Kleine	United States	Center	1996	Arkansas
, Travis Knight	United States	Forward/Center	1996; 1999	Connecticut
, Jim Krebs	United States	Forward/Center	1957	Southern Methodist
, Larry Krystkowiak	United States	Forward/Center	1996	Montana
, Mitch Kupchak	United States	Forward/Center	1981	North Carolina
, CJ Kupec	United States	Forward/Center	1975	Michigan
