Place	Rider	Country	Machine	Speed	Time	Points
1	Phil Read	Britain	Yamaha	98.02mph	1:32.23.3	15
2	Barry Randle	Britain	Yamaha	93.75mph	1:34.27.6	12
3	Alan Barnett	Britain	Yamaha	95.09mph	1:35.02.0	10
4	Rod Gould	Britain	Yamaha	95.09mph	1:35.14.0	8
5	Bill Henderson	Britain	Yamaha	94.32mph	1:36.01.2	6
6	Gyula Marsovsky	Switzerland	Yamaha	94.04mph	1:36.18.0	5
7	Peter Berwick	United Kingdom	Yamaha	93.65mph	1:36.42.6	4
8	Ian Richards	United Kingdom	Yamaha	93.47mph	1:36.53.4	3
9	Börje Jansson	Sweden	Yamasaki	93.39mph	1:36.50.0	2
10	Gordon Pantall	United Kingdom	Yamaha	93.35mph	1:37.00.8	1
