Vessel Name	Type	Built	Class	Flag
Hyundai Advance	Panamax	1997	KR	Panama
Hyundai Bridge	Panamax	1998	KR	Panama
Hyundai Future	Panamax	1997	KR	Panama
Hyundai Highway	Panamax	1998	KR	Panama
Hyundai Progress	Panamax	1998	KR	Panama
Hyundai Sprinter	Panamax	1997	KR	Panama
Hyundai Stride	Panamax	1997	KR	Panama
Hyundai Vladivostok	Panamax	1997	KR	Panama
Amalia C	Panamax	1998	GL	Malta
Niledutch Zebra	Panamax	2001	BV	Malta
Kalamata	Panamax	1991	DNV	Greek
Komodo	Panamax	1991	DNV	Greek
Lotus	Panamax	1988	NKK	Malta
Hanjin Algeciras	Panamax	2011	GL	Malta
Hanjin Buenos Aires	Panamax	2010	GL	Malta
Hanjin Costantza	Panamax	2011	GL	Malta
Hanjin Santos	Panamax	2010	GL	Malta
Hanjin Versailles	Panamax	2010	GL	Malta
Hope	Panamax	1989	DNV	Cyprus
Derby D	Panamax	2004	DNV	Liberia
Deva	Panamax	2004	DNV	Liberia
YM Seattle	Panamax	2007	DNV	Cyprus
YM Vancouver	Panamax	2007	DNV	Cyprus
Zim Dalian	Panamax	2009	DNV	Malta
Zim Kingston	Panamax	2008	DNV	Malta
Zim Luanda	Panamax	2009	DNV	Malta
Zim Monaco	Panamax	2009	DNV	Malta
Zim Rio Grande	Panamax	2008	DNV	Malta
Zim Sao Paolo	Panamax	2008	DNV	Malta
SNL Colombo	Panamax	2004	GL	Liberia
YM Singapore	Panamax	2004	GL	Liberia
Commodore	Post Panamax	1992	DNV	Cyprus
Duka	Post Panamax	1992	DNV	Cyprus
Federal	Post Panamax	1994	DNV	Cyprus
Maersk Mytilini	Panamax	1991	LR	Panama
Marathonas	Panamax	1991	LR	Panama
Messologi	Panamax	1991	LR	Panama
CMA CGM Moliere	Post Panamax	2009	GL	Malta
CMA CGM Musset	Post Panamax	2010	GL	Malta
CMA CGM Nerval	Post Panamax	2010	GL	Malta
CMA CGM Rabelais	Post Panamax	2010	GL	Malta
CMA CGM Racine	Post Panamax	2010	GL	Malta
YM Mandate	Post Panamax	2010	DNV	Liberia
YM Maturity	Post Panamax	2010	DNV	Liberia
CSCL America	Post Panamax	2004	LR	Cyprus
CSCL Europe	Post Panamax	2004	LR	Cyprus
CMA CGM Attila	Post Panamax	2011	GL	Malta
CMA CGM Bianca	Post Panamax	2011	GL	Malta
CMA CGM Melisande	Post Panamax	2012	GL	Malta
CMA CGM Samson	Post Panamax	2011	GL	Malta
CMA CGM Tancredi	Post Panamax	2011	GL	Malta
CSCL Le Havre	Post Panamax	2006	LR	Cyprus
CSCL Pusan	Post Panamax	2006	LR	Cyprus
Hanjin Germany	Post Panamax	2011	KR	Liberia
Hanjin Greece	Post Panamax	2011	KR	Liberia
Hanjin Italy	Post Panamax	2011	KR	Liberia
Hyundai Ambition	Post Panamax	2012	DNV	Liberia
Hyundai Smart	Post Panamax	2012	GL	Liberia
Hyundai Speed	Post Panamax	2012	DNV	Liberia
Hyundai Tenacity	Post Panamax	2012	GL	Liberia
Hyundai Together	Post Panamax	2012	GL	Liberia
