Name	Founded	Institution	Location	Status
Alpha	1879	Columbia University	New York City, NY, US	Inactive, 2009
Alpha Beta	1899	University of Minnesota	Minneapolis/St. Paul, MN, US	Inactive, 2007
Alpha Nu	1991	Claremont Colleges	Claremont, CA, US	Inactive, 2007
Alpha Omega	1984	Villanova University	Radnor Township, PA, US	Inactive, 1999
Beta Sigma	2007	University of Georgia	Athens, GA, US	Inactive, 2008
Gamma	1875	Syracuse University	Syracuse, NY, US	Inactive, 2007
Delta Alpha	1990	University of Colorado	Boulder, CO, US	Inactive, 1996
Delta Kappa	2001	University of New Brunswick	Fredericton, NB, CA	Inactive, 2004
Epsilon	1852	Brown University	Providence, RI, US	Inactive, 1986
Zeta	1848	Williams College	Williamstown, MA, US	Inactive, 1991
Theta Tau	1994	University of Vermont	Burlington, VT, US	Inactive, 2002
Iota Delta	1981	University of California at Davis	Davis, CA, US	Inactive, 1998
Lambda	1867	Bowdoin College	Brunswick, ME, US	Inactive, 1991
Mu	1892	Stanford University	Stanford, CA, US	Inactive, 1998
Mu Alpha	1999	Texas Tech University	Lubbock, TX, US	Inactive, 2003
Omicron Sigma	1962	Oregon State University	Corvallis, OR, US	Inactive, 1971
Rho	1956	Middlebury College	Middlebury, VT, US	Inactive, 1987
Rho Epsilon	1852	Harvard University	Cambridge, MA, US	Inactive, 1998
Sigma Zeta	1924	University of California, Los Angeles	Los Angeles, CA, US	Inactive, 2009
Tau Alpha	1992	Texas A&M University	College Station, TX, US	Inactive, 1998
Tau Delta	1973	Lehigh University	Bethlehem, PA, US	Inactive, 2002
Upsilon Mu	1975	University of Massachusetts	Amherst, MA, US	Inactive, 2009
Chi	1850	Colby College	Waterville, ME, US	Inactive, 1989
Chi Gamma	1967	University of Calgary	Calgary, AB, CA	Inactive, 2007
Psi Zeta	1979	Ohio State University	Columbus, OH, US	Inactive, 1984
Psi Kappa	1996	University of Southern California	Los Angeles, CA, US	Inactive, 1998
Omega	1947	Northwestern University	Evanston, IL, US	Inactive, 1993
