Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	11	0	44
Tevita Vaikona	Wing	13	0	52
Danny Peacock	Centre	1	0	4
Nathan McAvoy	Centre	19	0	76
Michael Withers	Wing	21	0	85
Henry Paul	Stand Off	12	29	106
Paul Deacon	Scrum Half	2	47	103
Neil Harmon	Prop	1	0	4
James Lowes	Hooker	18	0	72
Paul Anderson	Prop	2	0	8
Jeremy Donougher	Second Row	2	0	8
Mike Forshaw	Second Row	7	0	28
Steve McNamara	Loose Forward	6	98	221
Nick Zisti	Wing	2	0	8
David Boyle	Second Row	12	0	48
Warren Jowitt	Prop	4	0	16
Leon Pryce	Wing	12	0	48
Lee Radford	Wing	0	0	0
Jamie Peacock	Second Row	6	0	24
Scott Naylor	Centre	8	0	32
Brian McDermott	Prop	7	0	28
Bernard Dwyer	Second Row	1	0	4
Phil Howlett	Wing	2	0	8
Paul Sykes	Centre	0	0	0
Stuart Spruce	Fullback	15	0	60
Stuart Fielden	Prop	9	0	36
