Team	Home city	Stadium	Capacity	2011–12 season
Atalanta	Bergamo	Atleti Azzurri d'Italia	26,542	12th in Serie A
Bologna	Bologna	Renato Dall'Ara	39,444	9th in Serie A
Cagliari	Cagliari (playing in Quartu Sant'Elena )	Is Arenas	16,214	15th in Serie A
Catania	Catania	Angelo Massimino	23,420	11th in Serie A
Chievo	Verona	Marc'Antonio Bentegodi	39,211	10th in Serie A
Fiorentina	Florence	Artemio Franchi	47,282	13th in Serie A
Genoa	Genoa	Luigi Ferraris	36,685	17th in Serie A
Internazionale	Milan	San Siro	80,074	6th in Serie A
Juventus	Turin	Juventus Stadium	41,254	Serie A champions
Lazio	Rome	Olimpico	72,698	4th in Serie A
Milan	Milan	San Siro	80,074	Serie A runners-up
Napoli	Naples	San Paolo	60,240	5th in Serie A
Palermo	Palermo	Renzo Barbera	37,242	16th in Serie A
Parma	Parma	Ennio Tardini	27,906	8th in Serie A
Pescara	Pescara	Adriatico	24,500	Serie B champions
Roma	Rome	Olimpico	72,698	7th in Serie A
Sampdoria	Genoa	Luigi Ferraris	36,685	Serie B play-off winners
Siena	Siena	Artemio Franchi	15,373	14th in Serie A
Torino	Turin	Olimpico di Torino	27,994	Serie B runners-up
Udinese	Udine	Friuli	41,652	3rd in Serie A
