Date	Round	Attendance	Opposition	Stadium
26 August 2007	Round 1	14,421	Melbourne Victory	Westpac Stadium
9 September 2007	Round 3	11,478	Newcastle Jets	Westpac Stadium
22 September 2007	Round 5	12,127	Adelaide United	Westpac Stadium
30 September 2007	Round 6	10,127	Perth Glory	Westpac Stadium
21 October 2007	Round 9	10,560	Central Coast Mariners	Westpac Stadium
17 November 2007	Round 13	8,062	Sydney FC	Westpac Stadium
30 November 2007	Round 15	18,345	Adelaide United	Westpac Stadium
1 December 2007	Exhibition	31,853	Los Angeles Galaxy	Westpac Stadium
7 December 2007	Round 16	8,032	Perth Glory	Westpac Stadium
14 December 2007	Round 17	9,384	Queensland Roar	Westpac Stadium
4 January 2008	Round 19	14,288	Sydney FC	Westpac Stadium
Total	116,824 excl. exhibition match	116,824 excl. exhibition match	116,824 excl. exhibition match	116,824 excl. exhibition match
Average	11,682 excl. exhibition match	11,682 excl. exhibition match	11,682 excl. exhibition match	11,682 excl. exhibition match
