Date	Stadium	Winners	Runners-up	Score	Attendance
June 1, 1991	Waldstadion - Limbach-Oberfrohna	SpVgg Zschopau	FC Wismut Aue II	4–1	150
May 22, 1992	Stadion der Jugend - Kamenz	Bischofswerdaer FV 08	FSV Hoyerswerda	2–0	1,600
June 2, 1993	Alfred-Kunze-Sportpark - Leipzig	FC Sachsen Leipzig	Dresdner SC	2–0	2,070
May 25, 1994	Alfred- Kunze- Sportpark - Leipzig	FC Sachsen Leipzig	VFC Plauen	2–1	2,400
June 7, 1995	Alfred- Kunze- Sportpark - Leipzig	FC Sachsen Leipzig	Dynamo Dresden II	2–0	1,800
June 5, 1996	Stadion an der Gellertstraße - Chemnitz	VfB Leipzig II	Chemnitzer FC II	2–1 aet	530
May 7, 1997	Stadion an der Gellertstraße - Chemnitz	Chemnitzer FC	Dresdner SC	3–0	3,002
May 16, 1998	Stadion an der Gellertstraße - Chemnitz	Chemnitzer FC	FC Erzgebirge Aue	1–1 aet, 5–4 pen.	7,300
May 2, 1999	Vogtlandstadion - Plauen	VFC Plauen	FC Erzgebirge Aue	0–0 aet, 4–3 pen.	8,000
May 28, 2000	Erzgebirgsstadion - Aue	FC Erzgebirge Aue	VfB Leipzig	2–2 aet, 5–3 pen.	7,500
May 16, 2001	Westsachsenstadion - Zwickau	FC Erzgebirge Aue	FSV Zwickau	3–1	6,691
May 31, 2002	Westsachsenstadion - Zwickau	FC Erzgebirge Aue	FSV Zwickau	1–1 aet, 5–4 pen.	7,519
May 10, 2003	Vogtlandstadion - Plauen	Dynamo Dresden	VFC Plauen	3–2	10,400
April 28, 2004	Vogtlandstadion - Plauen	VFC Plauen	Dynamo Dresden	1–0	8,649
May 4, 2005	Zentralstadion - Leipzig	FC Sachsen Leipzig	Chemnitzer FC	2–1 aet	8,592
June 3, 2006	Vogtlandstadion - Plauen	Chemnitzer FC	VFC Plauen	1–0	4,148
June 10, 2007	Erzgebirgsstadion - Aue	Dynamo Dresden	Erzgebirge Aue II	2–0	7,123
April 30, 2008	Stadion an der Gellertstraße - Chemnitz	Chemnitzer FC	FC Sachsen Leipzig	1–0	7,750
June 17, 2009	Zentralstadion - Leipzig	Dynamo Dresden II	VFC Plauen	2–1 aet	6,000
May 14, 2010	Stadion an der Gellertstraße - Chemnitz	Chemnitzer FC	FC Erzgebirge Aue	3–2	9,670
June 1, 2011	Red Bull Arena - Leipzig	RB Leipzig	Chemnitzer FC	1–0	13,958
May 16, 2012	Stadion auf dem Pfaffenberg - Hohenstein-Ernstthal	Chemnitzer FC	VfL 05 Hohenstein-Ernstthal	5–4 aet	4,500
May 15, 2013	Red Bull Arena - Leipzig	RB Leipzig	Chemnitzer FC	4–2	16,864
