Edition	Round	Date	Partner	Surface	Opponents	Result
1983 World Group I	PO	July 19, 1983	Marina Kondova	Clay	Angela Longo Lindsay Standen	6–4, 6–2
1983 World Group I	PO	July 21, 1983	Adriana Velcheva	Clay	Svetlana Cherneva Larisa Savchenko	4–6, 3–6
1984 World Group I	R1	July 15, 1984	Katerina Maleeva	Clay	Amanda Brown Anne Hobbs	7–6, 7–5
1984 World Group I	R2	July 16, 1984	Katerina Maleeva	Clay	Elena Eliseenko Larisa Savchenko	7–5, 5–7, 1–6
1984 World Group I	QF	July 18, 1984	Katerina Maleeva	Clay	Sabrina Goleš Mima Jaušovec	3–6, 1–6
1985 World Group I	R1	October 6, 1985	Katerina Maleeva	Hard	Natalia Egorova Svetlana Cherneva	6–3, 7–5
1985 World Group I	R2	October 8, 1985	Katerina Maleeva	Hard	Sabrina Goleš Aila Winkler	6–4, 7–6 (9–7)
1985 World Group I	QF	October 10, 1985	Katerina Maleeva	Hard	Jo Durie Anne Hobbs	4–5, Ret.
1985 World Group I	SF	October 12, 1985	Katerina Maleeva	Hard	Hana Mandlíková Helena Suková	3–6, 6–7 (4–7)
1986 World Group I	R1	July 20, 1986	Katerina Maleeva	Clay	Svetlana Cherneva Larisa Savchenko	6–1, 4–6, 1–6
1986 World Group I	QF	July 23, 1986	Katerina Maleeva	Clay	Bettina Bunge Claudia Kohde-Kilsch	4–6, 2–6
1989 World Group I	R1	October 1, 1989	Katerina Maleeva	Hard	Kim Il-soon Lee Jeong-myung	7–5, 6–0
1989 World Group I	R2	October 3, 1989	Katerina Maleeva	Hard	Florencia Labat Mercedes Paz	6–1, 3–6, 6–1
1989 World Group I	QF	October 5, 1989	Katerina Maleeva	Hard	Elizabeth Smylie Janine Tremelling	7–5, 4–6, 0–6
↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓
1991 World Group I	R2	July 24, 1991	Cathy Caverzasio	Hard	Li Fang Yi Jing-Qian	1–3, Ret.
1991 World Group I	QF	July 25, 1991	Cathy Caverzasio	Hard	Jana Novotná Regina Rajchrtová	6–4, 2–1, Ret.
1992 World Group I	R1	July 14, 1992	Michelle Strebel	Clay	Maria Lindström Maria Strandlund	4–6, 7–5, 4–6
