Event	Record	Athlete	Nationality	Date
100 m	9.79 (+0.6 m/s)	Usain Bolt	Jamaica	7 June 2012
200 m	19.79 (+1.7 m/s)	Usain Bolt	Jamaica	13 June 2013
400 m	43.86	Michael Johnson	United States	21 July 1995
800 m	1:42.04	David Rudisha	Kenya	4 June 2010
1000 m	2:12.18	Sebastian Coe	Great Britain	11 July 1981
1500 m	3:29.12	Hicham El Guerrouj	Morocco	9 July 1998
Mile	3:44.90	Hicham El Guerrouj	Morocco	4 July 1997
2000 m	4:51.52	John Walker	New Zealand	30 June 1976
3000 m	7:27.42	Haile Gebrselassie	Ethiopia	9 July 1998
Two miles	8:15.2	Rod Dixon	New Zealand	17 July 1979
5000 m	12:52.26	Kenenisa Bekele	Ethiopia	27 June 2003
6 Miles	26:47.0	Ron Clarke	Australia	14 July 1965
10000 m	26:31.32	Haile Gebrselassie	Ethiopia	4 July 1997
110 m hurdles	13.00 (−0.1 m/s)	Ladji Doucoure	France	29 July 2005
400 m hurdles	47.67	Edwin Moses	United States	17 July 1979
2000 m steeplechase	5:20.00	Krzysztof Wesołowski	Poland	28 June 1984
3000 m steeplechase	8:01.83	Paul Kipsiele Koech	Kenya	9 June 2011
High jump	2.37 m	Javier Sotomayor	Cuba	1 July 1989
Pole vault	6.00 m	Tim Lobinger	Germany	30 June 1999
Long jump	8.53 m (+0.9 m/s)	Irving Saladino	Panama	2 June 2006
Triple jump	18.01 m (+0.4 m/s)	Jonathan Edwards	Great Britain	9 July 1998
Shot put	22.02 m	Werner Günthör	Switzerland	6 July 1991
Discus throw	70.51 m	Virgilijus Alekna	Lithuania	15 June 2007
Hammer throw	81.14 m	Juri Tamm	Soviet Union	16 July 1985
Javelin throw	94.22 m ( Olddesign ) 92.60 m ( Currentdesign )	Michael Wessing Raymond Hecht	West Germany Germany	3 August 1978 21 July 1995
5000 m walk	20:27.0+	Erling Andersen	Norway	3 August 1979
10000 m walk	40:50.0	Erling Andersen	Norway	3 August 1979
20000 m walk	1:27:56.8	Erling Andersen	Norway	23 August 1981
30000 m walk	2:35:45.6	Tore Brustad	Norway	20 July 1970
50000 m walk	4:42:10.0	Per Ola Sverre	Norway	9 August 1974
