Team	Stadium	Capacity	Highest	Lowest	Average
Dundee	Dens Park	11,856	6,192	3,146	4,264
Dunfermline Athletic	East End Park	11,998	4,946	2,444	3,754
St. Johnstone	McDiarmid Park	10,673	6,279	1,686	2,969
Greenock Morton	Cappielow	5,741	3,818	2,228	2,727
Partick Thistle	Firhill Stadium	10,887	4,914	1,149	2,591
Hamilton Academical	New Douglas Park	5,396	5,078	1,410	2,468
Queen of the South	Palmerston Park	6,412	3,005	1,484	1,965
Livingston	Almondvale Stadium	10,016	2,865	1,125	1,726
Clyde	Broadwood Stadium	8,006	1,979	910	1,298
Stirling Albion	Forthbank Stadium	3,808	2,215	431	1,166
