Driver	Constructor	Laps	Time/Retired	Grid
Jacques Villeneuve	Williams - Renault	64	1:30:35.896	1
Olivier Panis	Prost - Mugen-Honda	64	+5.804	12
Jean Alesi	Benetton - Renault	64	+12.534	4
Michael Schumacher	Ferrari	64	+17.979	7
Johnny Herbert	Sauber - Petronas	64	+27.986	10
David Coulthard	McLaren - Mercedes	64	+29.744	3
Mika Häkkinen	McLaren - Mercedes	64	+48.785	5
Heinz-Harald Frentzen	Williams - Renault	64	+1:04.139	2
Giancarlo Fisichella	Jordan - Peugeot	64	+1:04.767	8
Gerhard Berger	Benetton - Renault	64	+1:05.670	6
Jos Verstappen	Tyrrell - Ford	63	+1 Lap	19
Eddie Irvine	Ferrari	63	+1 Lap	11
Jan Magnussen	Stewart - Ford	63	+1 Lap	22
Gianni Morbidelli	Sauber - Petronas	62	+2 Laps	13
Jarno Trulli	Minardi - Hart	62	+2 Laps	18
Pedro Diniz	Arrows - Yamaha	53	Engine	21
Ralf Schumacher	Jordan - Peugeot	50	Engine	9
Rubens Barrichello	Stewart - Ford	37	Engine	17
Mika Salo	Tyrrell - Ford	35	Puncture	14
Shinji Nakano	Prost - Mugen-Honda	34	Gearbox	16
Damon Hill	Arrows - Yamaha	17	Engine	15
Ukyo Katayama	Minardi - Hart	11	Gearbox	20
