Year	Competition	Date	Location	Score	Result
1999	Europe/Africa Zone, Group I, Round Robin	21 Apr	Murcia	1-2	Loss
1999	Europe/Africa Zone, Group I, Play-Off	20 Apr	Murcia	3-0	Win
1999	Europe/Africa Zone, Group I, Round Robin	19 Apr	Murcia	1-2	Loss
1998	World Group II, Play-off	25-26 Jul	Bergheim	0-5	Loss
1998	Europe/Africa Zone, Group I, Play-off	18 Apr	Murcia	2-0	Win
1998	Europe/Africa Zone, Group I, Play-off	17 Apr	Murcia	2-1	Win
1998	Europe/Africa Zone, Group I, Round Robin	16 Apr	Murcia	2-1	Win
1998	Europe/Africa Zone, Group I, Round Robin	15 Apr	Murcia	2-1	Win
1998	Europe/Africa Zone, Group I, Round Robin	14 Apr	Murcia	3-0	Win
1997	Europe/Africa Zone, Group I, Round Robin	24 Apr	Bari	3-0	Win
1997	Europe/Africa Zone, Group I, Round Robin	23 Apr	Bari	0-3	Loss
1997	Europe/Africa Zone, Group I, Round Robin	22 Apr	Bari	0-3	Loss
1996	Europe/Africa Zone, Group II, Quarterfinal	30 Mar	Ramat Hasharon	2-1	Win
1996	Europe/Africa Zone, Group II, Round Robin	28 Mar	Ramat Hasharon	3-0	Win
1996	Europe/Africa Zone, Group II, Round Robin	27 Mar	Ramat Hasharon	3-0	Win
1996	Europe/Africa Zone, Group II, Round Robin	26 Mar	Ramat Hasharon	3-0	Win
1995	Europe/Africa Zone, Group I, Round Robin	19 Apr	Murcia	1-2	Loss
1995	Europe/Africa Zone, Group I, Round Robin	18 Apr	Murcia	1-2	Loss
1995	Europe/Africa Zone, Group I, Round Robin	17 Apr	Murcia	0-3	Loss
1994	World Group, 1st Round	19 Jul	Frankfurt	1-2	Loss
1993	World Group, Play-off	22 Jul	Frankfurt	2-1	Win
1993	World Group, 1st Round	19 Jul	Frankfurt	1-2	Loss
1992	World Group, Quarterfinal	16 Jul	Frankfurt	0-3	Loss
1992	World Group, 2nd Round	15 Jul	Frankfurt	2-1	Win
1992	World Group, 1st Round	13 Jul	Frankfurt	3-0	Win
1991	World Group, 2nd Round	24 Jul	Nottingham	1-2	Loss
1991	World Group, 1st Round	22 Jul	Nottingham	2-1	Win
1991	World Group, Qualifying Round	21 Jul	Nottingham	3-0	Win
1991	World Group, Qualifying Round	19 Jul	Nottingham	3-0	Win
1990	World Group, 1st Round	21 - 29 Jul	Atlanta	0-3	Loss
1990	World Group, Qualifying Round	21 - 29 Jul	Atlanta	2-1	Win
1990	World Group, Consolation Round	21 - 29 Jul	Atlanta	2-1	Win
1990	World Group, Consolation Round	21 - 29 Jul	Atlanta	0-3	Loss
