Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Trofeo Fast Team
P	Urs Freuler	Urs Freuler	not awarded	not awarded	not awarded	not awarded
1	Sergio Santimaria	Sergio Santimaria	Urs Freuler	Jesper Worre	Stefano Allocchio	Ariostea
2	Jean-Paul van Poppel	Jean-Paul van Poppel	Jean-Paul van Poppel	Jesper Worre	Jean-Paul van Poppel	Ariostea
3	Del Tongo-Colnago	Giuseppe Saronni	Jean-Paul van Poppel	Jesper Worre	Flavio Giupponi	Supermercati Brianzoli-Essebi
4	Gianbattista Baronchelli	Gianbattista Baronchelli	Johan van der Velde	Renato Piccolo	Flavio Giupponi	Supermercati Brianzoli-Essebi
5	Greg LeMond	Gianbattista Baronchelli	Johan van der Velde	Roberto Visentini	Flavio Giupponi	Supermercati Brianzoli-Essebi
6	Roberto Visentini	Giuseppe Saronni	Jean-Paul van Poppel	Roberto Visentini	Flavio Giupponi	Del Tongo-Colnago
7	Guido Bontempi	Giuseppe Saronni	Jean-Paul van Poppel	Roberto Visentini	Flavio Giupponi	Del Tongo-Colnago
8	Franco Chioccioli	Giuseppe Saronni	Stefano Colagè	Gianni Bugno	Flavio Giupponi	Del Tongo-Colnago
9	Acácio da Silva	Giuseppe Saronni	Stefano Colagè	Gianni Bugno	Flavio Giupponi	Del Tongo-Colnago
10	Guido Bontempi	Giuseppe Saronni	Stefano Colagè	Gianni Bugno	Flavio Giupponi	Del Tongo-Colnago
11	Guido Bontempi	Giuseppe Saronni	Guido Bontempi	Gianni Bugno	Flavio Giupponi	Del Tongo-Colnago
12	Lech Piasecki	Giuseppe Saronni	Guido Bontempi	Gianni Bugno	Flavio Giupponi	Del Tongo-Colnago
13	Jean-Paul van Poppel	Giuseppe Saronni	Guido Bontempi	Gianni Bugno	Flavio Giupponi	Del Tongo-Colnago
14	Martin Earley	Giuseppe Saronni	Guido Bontempi	Gianni Bugno	Flavio Giupponi	Supermercati Brianzoli-Essebi
15	Dag Erik Pedersen	Giuseppe Saronni	Guido Bontempi	Gianni Bugno	Flavio Giupponi	Supermercati Brianzoli-Essebi
16	Pedro Muñoz	Roberto Visentini	Guido Bontempi	Gianni Bugno	Marco Giovannetti	Supermercati Brianzoli-Essebi
17	Guido Bontempi	Roberto Visentini	Guido Bontempi	Gianni Bugno	Marco Giovannetti	Supermercati Brianzoli-Essebi
18	Francesco Moser	Roberto Visentini	Guido Bontempi	Gianni Bugno	Marco Giovannetti	Supermercati Brianzoli-Essebi
19	Johan van der Velde	Roberto Visentini	Guido Bontempi	Gianni Bugno	Marco Giovannetti	Supermercati Brianzoli-Essebi
20	Guido Bontempi	Roberto Visentini	Guido Bontempi	Gianni Bugno	Marco Giovannetti	Supermercati Brianzoli-Essebi
21	Acácio da Silva	Roberto Visentini	Guido Bontempi	Pedro Muñoz	Marco Giovannetti	Supermercati Brianzoli-Essebi
22	Eric Van Lancker	Roberto Visentini	Guido Bontempi	Pedro Muñoz	Marco Giovannetti	Supermercati Brianzoli-Essebi
Final	Final	Roberto Visentini	Guido Bontempi	Pedro Muñoz	Marco Giovannetti	Supermercati Brianzoli-Essebi
