Entrant	Constructor	Chassis	Tyre	Driver	Rounds
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Juan Manuel Fangio	1, 3
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Onofre Marimón	1, 3–6
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Luigi Musso	1, 8–9
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Prince Bira	1
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Sergio Mantovani	3–4, 6–9
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Alberto Ascari	4–5
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Luigi Villoresi	4–6, 8
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Roberto Mieres	7–9
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Stirling Moss	7, 9
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Harry Schell	7
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Louis Rosier	8
Officine Alfieri Maserati	Maserati	250F A6GCM	P	Paco Godia	9
Scuderia Ferrari	Ferrari	625 553 500	P	Giuseppe Farina	1, 3
Scuderia Ferrari	Ferrari	625 553 500	P	José Froilán González	1, 3–8
Scuderia Ferrari	Ferrari	625 553 500	P	Mike Hawthorn	1, 3–9
Scuderia Ferrari	Ferrari	625 553 500	P	Umberto Maglioli	1, 7–8
Scuderia Ferrari	Ferrari	625 553 500	P	Maurice Trintignant	4–9
Scuderia Ferrari	Ferrari	625 553 500	P	Piero Taruffi	6
Scuderia Ferrari	Ferrari	625 553 500	P	Robert Manzon	7–8
Scuderia Ferrari	Ferrari	625 553 500	P	Alberto Ascari	8
Equipe Gordini	Gordini	T16	E	Jean Behra	1, 3–9
Equipe Gordini	Gordini	T16	E	Élie Bayol	1
Equipe Gordini	Gordini	T16	E	Roger Loyer	1
Equipe Gordini	Gordini	T16	E	Paul Frère	3–4, 6
Equipe Gordini	Gordini	T16	E	André Pilette	3, 5–6
Equipe Gordini	Gordini	T16	E	Jacques Pollet	4, 9
Equipe Gordini	Gordini	T16	E	Clemar Bucci	5–8
Equipe Gordini	Gordini	T16	E	Fred Wacker	7–8
Ecurie Rosier	Ferrari Maserati	500 625 250F	D P	Louis Rosier	1, 4–6, 9
Ecurie Rosier	Ferrari Maserati	500 625 250F	D P	Maurice Trintignant	1, 3
Ecurie Rosier	Ferrari Maserati	500 625 250F	D P	Robert Manzon	4–6, 9
Harry Schell	Maserati	A6GCM 250F	P	Harry Schell	1, 4–6, 9
Emmanuel de Graffenried	Maserati	A6GCM	P	Toulo de Graffenried	1, 9
Emmanuel de Graffenried	Maserati	A6GCM	P	Ottorino Volonterio	9
Roberto Mieres	Maserati	A6GCM 250F	P	Roberto Mieres	1, 3–6
Jorge Daponte	Maserati	A6GCM	P	Jorge Daponte	1, 8
Onofre Marimón	Maserati	A6GCM	P	Carlos Menditeguy	1
Ecurie Francorchamps	Ferrari	500	E	Jacques Swaters	3, 7, 9
Prince Bira	Maserati	250F	P	Prince Bira	3–6, 9
Prince Bira	Maserati	250F	D	Ron Flockhart	5
Equipe Moss A.E. Moss	Maserati	250F	P	Stirling Moss	3, 5–6, 8
Daimler Benz AG	Mercedes	W196	C	Juan Manuel Fangio	4–9
Daimler Benz AG	Mercedes	W196	C	Karl Kling	4–9
Daimler Benz AG	Mercedes	W196	C	Hans Herrmann	4, 6–9
Daimler Benz AG	Mercedes	W196	C	Hermann Lang	6
Georges Berger	Gordini	T16	E	Georges Berger	4
HW Motors	HWM - Alta	53	D	Lance Macklin	4
Owen Racing Organisation	Maserati	250F	D	Ken Wharton	4–7, 9
Owen Racing Organisation	Maserati	250F	D	Guerino Bertocchi	9
Gilby Engineering	Maserati	250F	D	Roy Salvadori	4–5
Scuderia Ambrosiana	Ferrari	500	A	Reg Parnell	5
G.A. Vandervell Vandervell Products	Vanwall	Special	P	Peter Collins	5, 8–9
Peter Whitehead	Cooper - Alta	T24	D	Peter Whitehead	5
Bill Whitehouse	Connaught - Lea-Francis	A	D	Bill Whitehouse	5
Leslie Marr	Connaught - Lea-Francis	A	D	Leslie Marr	5
R.R.C. Walker Racing Team	Connaught - Lea-Francis	A	D	John Riseley-Prichard	5
Sir Jeremy Boles	Connaught - Lea-Francis	A	D	Don Beauman	5
Ecurie Ecosse	Connaught - Lea-Francis	A	D	Leslie Thorne	5
R.J. Chase	Cooper - Bristol	T23	D	Alan Brown	5
Gould's Garage (Bristol)	Cooper - Bristol	T23	D	Horace Gould	5
Bob Gerard	Cooper - Bristol	T23	D	Bob Gerard	5
Ecurie Richmond	Cooper - Bristol	T23	D	Eric Brandon	5
Ecurie Richmond	Cooper - Bristol	T23	D	Rodney Nuckey	5
Hans Klenk	Klenk - BMW	Meteor	P	Theo Helfrich	6
Giovanni de Riu	Maserati	A6GCM	P	Giovanni de Riu	8
Scuderia Lancia	Lancia	D50	P	Alberto Ascari	9
Scuderia Lancia	Lancia	D50	P	Luigi Villoresi	9
