Name	Street address	Years as tallest	Height ft / m	Floors
Lomas & Nettleton Building [B ]	201 Main Street	1904–1908	N/A [C ]	8
711 Main [D ]	711 Main Street	1908–1910	134 / 41	10
806 Main	806 Main Street	1910–1926	302 / 92	23
Magnolia Hotel	1100 Texas Avenue	1926–1927	325 / 99	22
Niels Esperson Building	808 Travis Street	1927–1929	410 / 125	32
JPMorgan Chase Building	712 Main Street	1929–1963	428 / 131	36
Exxon Building	800 Bell Avenue	1963–1971	607 / 185	44
One Shell Plaza [A ]	910 Louisiana Street	1971–1980	714 / 218	50
Enterprise Plaza	1100 Louisiana Street	1980–1982	756 / 230	55
JPMorgan Chase Tower	600 Travis Street	1982–present	1,002 / 305	75
