Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 23	MasterCard Championship	Hawaii	1,200,000	George Archer (19)	207 (-9)	199,000
Feb 6	Royal Caribbean Classic	Florida	1,100,000	Bruce Fleisher (8)	30 ( Stableford )	165,000
Feb 13	ACE Group Classic	Florida	1,200,000	Lanny Wadkins (1)	202 (-14)	180,000
Feb 20	GTE Classic	Florida	1,300,000	Bruce Fleisher (9)	200 (-13)	195,000
Feb 27	LiquidGolf.com Invitational	Florida	1,200,000	Tom Wargo (4)	202 (-14)	180,000
Mar 5	Toshiba Senior Classic	California	1,300,000	Allen Doyle (5)	136 (-6)	195,000
Mar 12	Audi Senior Classic	Mexico	1,500,000	Hubert Green (2)	197 (-19)	225,000
Mar 26	Emerald Coast Classic	Florida	1,250,000	Gil Morgan (16)	197 (-13)	187,500
Apr 2	The Countrywide Tradition	Arizona	1,600,000	Tom Kite (1)	280 (-8)	240,000
Apr 16	PGA Seniors' Championship	Florida	1,800,000	Doug Tewell (1)	201 (-15)	324,000
Apr 23	Las Vegas Senior Classic	Nevada	1,400,000	Larry Nelson (6)	197 (-19)	210,000
Apr 30	Bruno's Memorial Classic	Alabama	1,300,000	John Jacobs (3)	203 (-13)	195,000
May 7	The Home Depot Invitational	North Carolina	1,300,000	Bruce Fleisher (10)	203 (-13)	195,000
May 14	Nationwide Championship	Georgia	1,450,000	Hale Irwin (26)	207 (-9)	217,500
May 21	TD Waterhouse Championship	Missouri	1,300,000	Dana Quigley (4)	198 (-18)	195,000
May 28	Boone Valley Classic	Missouri	1,500,000	Larry Nelson (7)	200 (-16)	225,000
Jun 4	BellSouth Senior Classic at Opryland	Tennessee	1,500,000	Hale Irwin (27)	198 (-18)	225,000
Jun 11	SBC Senior Open	Illinois	1,400,000	Tom Kite (2)	207 (-9)	210,000
Jun 18	SBC Championship	Texas	1,100,000	Doug Tewell (2)	202 (-14)	165,000
Jun 25	Cadillac NFL Golf Classic	New Jersey	1,100,000	Lee Trevino (29)	202 (-14)	165,000
Jul 2	U.S. Senior Open	Pennsylvania	2,250,000	Hale Irwin (28)	267 (-17)	400,000
Jul 9	State Farm Senior Classic	Maryland	1,350,000	Leonard Thompson (2)	205 (-11)	202,500
Jul 16	Ford Senior Players Championship	Michigan	2,300,000	Raymond Floyd (14)	273 (-15)	345,000
Jul 23	The Instinet Classic	New Jersey	1,400,000	Gil Morgan (17)	199 (-17)	210,000
Jul 30	Lightpath Long Island Classic	New York	1,500,000	Bruce Fleisher (11)	198 (-18)	225,000
Aug 6	Coldwell Banker Burnet Classic	Minnesota	1,600,000	Ed Dougherty (1)	197 (-19)	240,000
Aug 13	AT&T Canada Senior Open Championship	Canada	1,450,000	Tom Jenkins (2)	274 (-14)	217,500
Aug 20	Novell Utah Showdown	Utah	1,450,000	Doug Tewell (3)	199 (-17)	217,500
Aug 27	FleetBoston Classic	Massachusetts	1,300,000	Larry Nelson (8)	203 (-13)	195,000
Sep 3	Foremost Insurance Championship	Michigan	1,100,000	Larry Nelson (9)	198 (-18)	165,000
Sep 10	Comfort Classic	Indiana	1,250,000	Gil Morgan (18)	131 (-13)	187,500
Sep 17	Kroger Senior Classic	Ohio	1,400,000	Hubert Green (3)	200 (-10)	210,000
Sep 24	Bank One Senior Championship	Texas	1,400,000	Larry Nelson (10)	203 (-1)	210,000
Oct 1	Vantage Championship	North Carolina	1,500,000	Larry Nelson (11)	198 (-12)	225,000
Oct 8	The Transamerica	California	1,100,000	Jim Thorpe (1)	198 (-18)	165,000
Oct 15	Gold Rush Classic	California	1,100,000	Jim Thorpe (2)	195 (-21)	165,000
Oct 22	EMC Kaanapali Classic	Hawaii	1,100,000	Hale Irwin (29)	198 (-15)	165,000
Oct 29	SBC Senior Classic	California	1,400,000	Joe Inman (3)	198 (-15)	210,000
Nov 5	IR Senior Tour Championship	South Carolina	2,100,000	Tom Watson (2)	270 (-18)	365,000
