Outcome	Date	Tournament	Partner	Opponents in the final	Score in the final
Runner-up	1970	Stockholm , Sweden	Owen Davidson	Arthur Ashe Stan Smith	0–6, 7–5, 5–7
Winner	1970	Buenos Aires , Argentina	Ray Ruffels	Željko Franulović Jan Kodeš	7–5, 6–2, 5–7, 6–7, 6–3
Winner	1971	Auckland , New Zealand	Ray Ruffels	Brian Fairlie Raymond Moore	6–3, 6–7, 6–4, 4–6, 6–3
Runner-up	1971	Tehran WCT , Iran	Ray Ruffels	John Newcombe Tony Roche	4–6, 7–6, 1–6
Runner-up	1971	Washington WCT , U.S.	Ray Ruffels	Tom Okker Marty Riessen	6–7, 2–6
Winner	1971	South Orange , U.S.	Tom Leonard	Clark Graebner Erik Van Dillen	6–4, 4–6, 6–4
Winner	1972	Toronto WCT , Canada	Ray Ruffels	Roy Emerson Rod Laver	6–4, 4–6, 6–4
Winner	1972	Quebec WCT , Canada	Ray Ruffels	John Alexander Terry Addison	4–6, 6–3, 7–5
Runner-up	1972	Johannesburg -2, South Africa	Terry Addison	John Newcombe Fred Stolle	3–6, 4–6
Runner-up	1973	Nottingham , U.S.	Frew McMillan	Tom Gorman Erik Van Dillen	4–6, 1–6
Runner-up	1973	Båstad , Sweden	Frew McMillan	Nikola Pilić Stan Smith	6–2, 4–6, 4–6
Runner-up	1973	Bretton Woods , U.S.	Frew McMillan	Rod Laver Fred Stolle	6–7, 6–4, 5–7
Winner	1973	Tanglewood , U.S.	Frew McMillan	Ismail El Shafei Brian Fairlie	6–3, 6–4
Winner	1973	Indianapolis , U.S.	Frew McMillan	Manuel Orantes Ion Ţiriac	6–3, 6–4
Runner-up	1973	Seattle , U.S.	Frew McMillan	Tom Gorman Tom Okker	6–2, 4–6, 6–7
Winner	1973	Quebec City , Canada	Frew McMillan	Jimmy Connors Marty Riessen	6–2, 7–6
Runner-up	1973	Madrid , Spain	Frew McMillan	Ilie Năstase Tom Okker	3–6, 0–6
Runner-up	1973	Stockholm , Sweden	Frew McMillan	Jimmy Connors Ilie Năstase	3–6, 7–6, 2–6
Runner-up	1975	Australian Open , Melbourne	Allan Stone	John Alexander Phil Dent	3–6, 6–7
Winner	1975	Auckland , New Zealand	Ray Ruffels	Brian Fairlie Onny Parun	7–6, RET.
Runner-up	1975	Denver WCT , U.S.	Allan Stone	Roy Emerson Rod Laver	2–6, 6–3, 5–7
Runner-up	1975	Las Vegas , U.S.	Cliff Drysdale	John Alexander Phil Dent	1–6, 4–6
Runner-up	1975	Hong Kong	Gene Mayer	Tom Okker Ken Rosewall	3–6, 4–6
Runner-up	1976	Düsseldorf , Germany	Raymond Moore	Wojtek Fibak Karl Meiler	4–6, 6–4, 4–6
Runner-up	1976	Perth , Australia	Ismail El Shafei	Dick Stockton Roscoe Tanner	7–6, 1–6, 2–6
Winner	1976	Tokyo Outdoor , Japan	Ken Rosewall	Ismail El Shafei Brian Fairlie	6–4, 6–4
Winner	1976	Bangalore , India	Ray Ruffels	Chiraid Mukherjea Bhanu Nunna	6–2, 7–6
Runner-up	1978	Miami , U.S.	Brian Teacher	Tom Gullikson Gene Mayer	6–7, 3–6
Winner	1978	Båstad , Sweden	Mark Edmondson	Péter Szőke Balázs Taróczy	7–5, 6–4
Runner-up	1978	Hilversum , Netherlands	Mark Edmondson	Tom Okker Balázs Taróczy	6–7, 6–4, 5–7
Runner-up	1978	Sydney Outdoor , Australia	Syd Ball	Hank Pfister Sherwood Stewart	4–6, 4–6
Runner-up	1979	Washington Indoor , U.S.	Brian Teacher	Robert Lutz Stan Smith	4–6, 5–7, 6–3, 6–7
Runner-up	1979	Stuttgart Indoor , Germany	Brian Teacher	Wojtek Fibak Tom Okker	3–6, 7–5, 6–7
Runner-up	1979	Woodlands Doubles , U.S.	Tim Gullikson	Marty Riessen Sherwood Stewart	3–6, 2–2, RET.
