Class	Wheel arrangement	LCDR number(s)	SECR numbers	Manufacturer	Year made	Quantity made	Quantity preserved	Year(s) withdrawn
William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)	William Martley (1860–1874)
Acis	0-6-0	113–126	572–585	Sharp, Stewart & Co. Robert Stephenson & Co.	1861–62	14	0	1903–1908
Adrian	0-6-0	127–132	586–591	John Fowler & Co.	1866	6	0	1907–1910
Huz	0-6-0	133–134	(592–593)	Sharp, Stewart & Co.	1873	2	0	1902
New Aeolus	2-4-0T	71–74	530–533	Longhedge Works	1872–1873	4	0	1905–1909
Rose	2-4-0T	75–80	—	R & W Hawthorn	1863	6	0	1881–1883
Second Sondes	2-4-0T	59–64	518–523	Longhedge Works	1865	6	0	1909
Scotchmen	0-4-2T	81–94	540–553	Neilson & Co.	1866	14	0	1904–1909
Large Scotchmen	0-4-2T	95–100	554–559	Neilson & Co.	1873	6	0	1909–1914
Dawn	2-4-0	32–37	491–496	Sharp, Stewart & Co.	1862	6	0	1904–1907
Bluebell	2-4-0	38–43	497–502	Sharp, Stewart & Co.	1863	6	0	1904–1908
Reindeer	2-4-0	44–49	503–508	Brassey & Co.	1865	6	0	1904–1908
Enigma	2-4-0	50–52	509–511	Longhedge Works	1869–1870	3	0	1905–1906
Europa	2-4-0	53–56	512–515	Sharp, Stewart & Co.	1873	4	0	1907–1909
Europa	2-4-0	57–58	516–517	Longhedge Works	1876	2	0	1908–1909
