Year	Network	Play-by-play	Colour commentator(s)	Studio host
1999	CBC	Bob Cole	Harry Neale	Ron MacLean
1998	CBC	Bob Cole	Harry Neale	Ron MacLean
1997	CBC	Bob Cole	Harry Neale	Ron MacLean
1996	CBC	Bob Cole	Harry Neale	Ron MacLean
1995	Canceled due to 1994–95 NHL lockout .	Canceled due to 1994–95 NHL lockout .	Canceled due to 1994–95 NHL lockout .	Canceled due to 1994–95 NHL lockout .
1994	CBC	Bob Cole	Harry Neale and Dick Irvin, Jr.	Ron MacLean
1993	TSN	Jim Hughson	Gary Green	John Wells
1992	TSN	Jim Hughson	Gary Green	John Wells
1991	TSN	Jim Hughson	Gary Green	John Wells
1990	TSN	Jim Hughson	Gary Green	Jim Van Horne
